step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,r_checkpoint,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6464598178863525,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.35354018211364746,-0.0,-1.0,0.0,0.0,-1.115139435396618,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7627019882202148,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.23729801177978516,-0.0,-1.0,0.0,0.0,-1.0802667842964593,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8808526992797852,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.11815071105957031,-0.0,-1.0,0.0,0.0,-1.0445225940803948,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.11914730072021484,-0.0,-1.0,0.0,0.0,-1.0448215709785882,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9676291346549988,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.03237086534500122,-0.0,-1.0,0.0,0.0,-1.0187886403660242,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8653950095176697,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.1022341251373291,-0.0,-1.0,0.0,0.0,-1.0397476183037226,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.89328533411026,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.027890324592590332,-0.0,-1.0,0.0,0.0,-1.017444478140301,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.10671466588973999,-0.0,-1.0,0.0,0.0,-1.0410917805294457,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7302060723304749,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.7302060723304749,-0.0,-1.0,0.0,0.0,-1.5281392024616662,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7616766691207886,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.4918827414512634,-0.0,-1.0,0.0,0.0,-1.456642203197903,
