step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_recovery,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.07592755556106567,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.20542104542255402,0.9146713018417358,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.12949348986148834,-0.0,0.016671950000000102,-1.0,0.0,-1.0312534777209703,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.010425388813018799,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.21584643423557281,-0.0,0.016671950000000102,-1.0,0.0,-1.0571593610331955,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.07273483276367188,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.062309443950653076,-0.0,0.016671950000000102,-1.0,0.0,-1.0110982639477197,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.0727348327636719,-0.0,0.016671950000000102,-1.0,0.0,-1.3142258805916254,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6409630179405212,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.35903698205947876,-0.0,0.016671950000000102,-1.0,0.0,-1.1001165253803673,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.939304769039154,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.2983417510986328,-0.0,0.016671950000000102,-1.0,0.0,-1.0819079560921137,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.06069523096084595,-0.0,0.016671950000000102,-1.0,0.0,-1.0106140000507775,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5339411497116089,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.4660588502883911,-0.0,0.016671950000000102,-1.0,0.0,-1.132223085849041,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.5339411497116089,-0.0,0.016671950000000102,-1.0,0.0,-1.4525877756760064,
