step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.28884899616241455,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.2888489961624146,-1.0,0.0,-1.3866546988487243,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.777671754360199,1.0,0.0,1,0.0,0.0,0.0,-0.22232824563980103,-1.0,0.0,-1.0666984736919403,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.2632552981376648,1.0,0.0,1,0.0,0.0,0.0,-0.5144164562225342,-1.0,0.0,-1.1543249368667603,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.7367447018623352,-1.0,0.0,-1.2210234105587006,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.28028687834739685,1.0,0.15850889682769775,1,0.0,0.0,0.0,-0.7197131216526031,-1.0,0.0,-1.215913936495781,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.021729588508605957,1.0,0.0,1,0.0,0.0,0.0,-0.2585572898387909,-1.0,0.0,-1.0775671869516372,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6992419362068176,1.0,0.0,1,0.0,0.0,0.0,-0.6775123476982117,-1.0,0.0,-1.2032537043094635,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6917687654495239,1.0,0.0,1,0.0,0.0,0.0,-0.007473170757293701,-1.0,0.0,-1.002241951227188,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.703495442867279,1.0,0.0,1,0.0,0.0,0.0,-0.011726677417755127,-1.0,0.0,-1.0035180032253266,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8296075463294983,1.0,0.0,1,0.0,0.0,0.0,-0.12611210346221924,-1.0,0.0,-1.0378336310386658,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8115582466125488,0.3245922327041626,0.0,1,0.0,0.0,0.0,-0.018049299716949463,-1.0,0.0,-1.005414789915085,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.33420878648757935,1,0.0,0.0,0.0,-1.8115582466125488,-1.0,0.0,-1.5434674739837646,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5844574570655823,0.38095033168792725,0.0,1,0.0,0.0,0.0,-1.5844574570655823,-1.0,0.0,-1.4753372371196747,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.4155425429344177,-1.0,0.0,-1.1246627628803254,
