step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.1851041615009308,0.7358479499816895,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.4941815137863159,1.0,0.0,1,0.0,0.0,0.0,-0.30907735228538513,-0.0,-1.0,0.0,-1.0927232056856155,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3666355013847351,1.0,0.0,1,0.0,0.0,0.0,-0.860817015171051,-0.0,-1.0,0.0,-1.2582451045513152,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.13128693401813507,1.0,0.0,1,0.0,0.0,0.0,-0.4979224354028702,-0.0,-1.0,0.0,-1.149376730620861,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.20402641594409943,1.0,0.0,1,0.0,0.0,0.0,-0.07273948192596436,-0.0,-1.0,0.0,-1.0218218445777894,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5303268432617188,1.0,0.0,1,0.0,0.0,0.0,-0.3263004273176193,-0.0,-1.0,0.0,-1.0978901281952858,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.46967315673828125,-0.0,-1.0,0.0,-1.1409019470214843,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7714227437973022,1.0,0.0,1,0.0,0.0,0.0,-0.22857725620269775,-0.0,-1.0,0.0,-1.0685731768608093,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.19295069575309753,1.0,0.12303304672241211,1,0.0,0.0,0.0,-0.9643734395503998,-0.0,-1.0,0.0,-1.28931203186512,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.18532957136631012,1.0,0.0,1,0.0,0.0,0.0,-0.37828026711940765,-0.0,-1.0,0.0,-1.1134840801358223,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.8146704286336899,-0.0,-1.0,0.0,-1.2444011285901069,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.4711379408836365,1.0,0.0,1,0.0,0.0,0.0,-0.5288620591163635,-0.0,-1.0,0.0,-1.158658617734909,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.25916919112205505,1.0,0.005906944163143635,1,0.0,0.0,0.0,-0.21196874976158142,-0.0,-1.0,0.0,-1.0635906249284743,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8817915916442871,1.0,0.0,1,0.0,0.0,0.0,-0.6226224005222321,-0.0,-1.0,0.0,-1.1867867201566695,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.9031412601470947,1,0.0,0.0,0.0,-0.11820840835571289,-0.0,-1.0,0.0,-1.0354625225067138,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.21356040239334106,1.0,1.0,1,0.0,0.0,0.0,-1.213560402393341,-0.0,-1.0,0.0,-1.3640681207180023,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.17824295163154602,0.11852967739105225,0.32846954464912415,1,0.0,0.0,0.0,-0.035317450761795044,-0.0,-1.0,0.0,-1.0105952352285386,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9831380844116211,1.0,0.45172202587127686,1,0.0,0.0,0.0,-1.1613810360431671,-0.0,-1.0,0.0,-1.34841431081295,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7012086510658264,1.0,0.0,1,0.0,0.0,0.0,-0.2819294333457947,-0.0,-1.0,0.0,-1.0845788300037384,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.56031733751297,1.0,0.6815325021743774,1,0.0,0.0,0.0,-1.2615259885787964,-0.0,-1.0,0.0,-1.3784577965736389,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.141169935464859,0.0,1.0,1,0.0,0.0,0.0,-0.701487272977829,-0.0,-1.0,0.0,-1.2104461818933487,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8723381757736206,0.0,0.07989811897277832,1,0.0,0.0,0.0,-0.7311682403087616,-0.0,-1.0,0.0,-1.2193504720926285,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.2726065218448639,0.0,1.0,1,0.0,0.0,0.0,-0.5997316539287567,-0.0,-1.0,0.0,-1.179919496178627,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.000819087028503418,1.0,0.7578960657119751,1,0.0,0.0,0.0,-0.2734256088733673,-0.0,-1.0,0.0,-1.08202768266201,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.15582916140556335,1.0,1.0,1,0.0,0.0,0.0,-0.15664824843406677,-0.0,-1.0,0.0,-1.04699447453022,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.16441887617111206,0.0,1.0,1,0.0,0.0,0.0,-0.3202480375766754,-0.0,-1.0,0.0,-1.0960744112730025,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.34845370054244995,0.39222943782806396,1.0,1,0.0,0.0,0.0,-0.512872576713562,-0.0,-1.0,0.0,-1.1538617730140686,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6658356189727783,0.0,0.9497851133346558,1,0.0,0.0,0.0,-0.31738191843032837,-0.0,-1.0,0.0,-1.0952145755290985,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7555181980133057,0.5230901837348938,1.0,1,0.0,0.0,0.0,-0.08968257904052734,-0.0,-1.0,0.0,-1.0269047737121582,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,-0.24448180198669434,-0.0,-1.0,0.0,-1.0733445405960083,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.09050342440605164,1.0,1.0,1,0.0,0.0,0.0,-0.9094965755939484,-0.0,-1.0,0.0,-1.2728489726781844,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.765347421169281,1.0,1.0,1,0.0,0.0,0.0,-0.6748439967632294,-0.0,-1.0,0.0,-1.2024531990289689,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.15133477747440338,1.0,1,0.0,0.0,0.0,-0.234652578830719,-0.0,-1.0,0.0,-1.0703957736492158,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8344150185585022,0.514930248260498,1.0,1,0.0,0.0,0.0,-0.1655849814414978,-0.0,-1.0,0.0,-1.0496754944324493,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8419417142868042,0.0,1.0,1,0.0,0.0,0.0,-0.007526695728302002,-0.0,-1.0,0.0,-1.0022580087184907,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.015643000602722168,0.0,1.0,1,0.0,0.0,0.0,-0.826298713684082,-0.0,-1.0,0.0,-1.2478896141052247,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9137610197067261,0.0,0.6713528037071228,1,0.0,0.0,0.0,-0.8981180191040039,-0.0,-1.0,0.0,-1.2694354057312012,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.3761991262435913,0.0,1.0,1,0.0,0.0,0.0,-0.5375618934631348,-0.0,-1.0,0.0,-1.1612685680389405,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.08500999212265015,0.0,1.0,1,0.0,0.0,0.0,-0.29118913412094116,-0.0,-1.0,0.0,-1.0873567402362823,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,-0.9149900078773499,-0.0,-1.0,0.0,-1.274497002363205,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5096126794815063,0.822799563407898,1.0,1,0.0,0.0,0.0,-0.49038732051849365,-0.0,-1.0,0.0,-1.147116196155548,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6479441523551941,1.0,1.0,1,0.0,0.0,0.0,-0.13833147287368774,-0.0,-1.0,0.0,-1.0414994418621064,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.2795135974884033,1.0,0.0,1,0.0,0.0,0.0,-0.9274577498435974,-0.0,-1.0,0.0,-1.2782373249530792,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.03872615098953247,0.054447367787361145,0.8479197025299072,1,0.0,0.0,0.0,-0.24078744649887085,-0.0,-1.0,0.0,-1.0722362339496612,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.614426851272583,0.5561081767082214,1.0,1,0.0,0.0,0.0,-0.6531530022621155,-0.0,-1.0,0.0,-1.1959459006786346,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,-0.385573148727417,-0.0,-1.0,0.0,-1.115671944618225,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.17311811447143555,0.47078901529312134,1.0,1,0.0,0.0,0.0,-1.1731181144714355,-0.0,-1.0,0.0,-1.3519354343414307,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,-1.1731181144714355,-0.0,-1.0,0.0,-1.3519354343414307,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.06930172443389893,0.6519719958305359,1.0,1,0.0,0.0,0.0,-0.9306982755661011,-0.0,-1.0,0.0,-1.2792094826698304,
49,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8026520013809204,0.0,1.0,1,0.0,0.0,0.0,-0.7333502769470215,-0.0,-1.0,0.0,-1.2200050830841065,
50,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5158525705337524,1.0,0.0,1,0.0,0.0,0.0,-1.3185045719146729,-0.0,-1.0,0.0,-1.395551371574402,
51,0.0574739,-0.00679366,9.83873e-06,0.333334,6351.65,0.0,0.0,0.1869257539510727,1.0,0.0,1,0.05747361726212618,0.0,0.0,-0.7027783244848251,-0.0,-1.0,0.0,-1.1533598800833214,
52,0.665343,-0.0152562,2.27133e-05,0.333334,6351.65,0.00195313,0.0,-1.0,1.0,0.0,1,0.6653354437607965,0.0,0.0,-1.1869257539510727,-0.0,-1.0,0.0,-0.6907422824245253,
53,1.694,0.0230999,-1.63873e-05,0.333334,6351.66,0.00878906,0.0,0.3514435589313507,1.0,0.0,1,1.6939861197294441,0.0,0.0,-1.3514435589313507,-0.0,-1.0,0.0,0.288553052050039,
54,2.60018,-0.015099,-1.16189e-05,0.333334,6351.67,0.0209961,0.0,-0.03354683145880699,1.0,0.0,1,2.6001648942087887,0.0,0.0,-0.3849903903901577,-0.0,-1.0,0.0,1.4846677770917416,
55,3.32386,0.120584,-0.000248607,0.333375,6351.69,0.0371094,0.0,0.6766964793205261,1.0,0.0,1,3.323446729856431,0.0,0.0,-0.7102433107793331,-0.0,-1.0,0.0,2.110373736622631,
56,4.18014,0.338594,-0.00135964,0.333589,6351.71,0.0581055,0.0,0.8508207201957703,1.0,0.0,1,4.1772943943542,0.0,0.0,-0.17412424087524414,-0.0,-1.0,0.0,3.1250571220916266,
57,4.90918,0.28881,-0.00266045,0.333904,6351.73,0.0834961,0.0,0.34872451424598694,1.0,0.0,1,4.902632320174543,0.0,0.0,-0.5020962059497833,-0.0,-1.0,0.0,3.7520034583896082,
