step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.20387953519821167,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7616073489189148,1.0,1.0,1,-0.009092603003111566,0.0,-0.2383926510810852,-0.0,-1.0,0.0,-1.080610398327437,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.16810472309589386,0.2823788523674011,0.10757365822792053,1,-0.009092603003111566,0.0,-0.9297120720148087,-0.0,-1.0,0.0,-1.288006224607554,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.47479259967803955,0.0,1,-0.009092603003111566,0.0,-1.1681047230958939,-0.0,-1.0,0.0,-1.3595240199318797,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.37228643894195557,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.006005855277180672,0.0,0.0,1,-0.009092603003111566,0.0,-1.0060058552771807,-0.0,-1.0,0.0,-1.3108943595862657,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.08071767538785934,0.20593079924583435,0.0,1,-0.009092603003111566,0.0,-0.07471182011067867,-0.0,-1.0,0.0,-1.031506149036315,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.15295113623142242,1.0,0.0,1,-0.009092603003111566,0.0,-0.23366881161928177,-0.0,-1.0,0.0,-1.079193246488896,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.5754145383834839,1,-0.009092603003111566,0.0,-0.8470488637685776,-0.0,-1.0,0.0,-1.2632072621336847,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6142679452896118,0.9622997045516968,0.0,1,-0.009092603003111566,0.0,-0.3857320547103882,-0.0,-1.0,0.0,-1.124812219416228,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.14098644256591797,0.0,0.0,1,-0.009092603003111566,0.0,-0.7552543878555298,-0.0,-1.0,0.0,-1.2356689193597705,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8250857591629028,0.0,0.30110305547714233,1,-0.009092603003111566,0.0,-0.6840993165969849,-0.0,-1.0,0.0,-1.214322397982207,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.052517518401145935,0.0,0.0,1,-0.009092603003111566,0.0,-0.7725682407617569,-0.0,-1.0,0.0,-1.2408630752316387,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.05157500505447388,0.6151756048202515,0.0,1,-0.009092603003111566,0.0,-0.10409252345561981,-0.0,-1.0,0.0,-1.0403203600397974,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.26180729269981384,0.08562755584716797,0.0,1,-0.009092603003111566,0.0,-0.3133822977542877,-0.0,-1.0,0.0,-1.1031072923293979,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.5945097208023071,1,-0.009092603003111566,0.0,-1.2618072926998138,-0.0,-1.0,0.0,-1.3876347908130557,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.1750890612602234,0.0,0.0,1,-0.009092603003111566,0.0,-0.8249109387397766,-0.0,-1.0,0.0,-1.2565658846250445,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.19270087778568268,0.41067996621131897,0.0,1,-0.009092603003111566,0.0,-0.36778993904590607,-0.0,-1.0,0.0,-1.1194295847168834,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.06729206442832947,0.0,0.06546135246753693,1,-0.009092603003111566,0.0,-0.25999294221401215,-0.0,-1.0,0.0,-1.0870904856673151,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8919568061828613,0.0,0.5936031937599182,1,-0.009092603003111566,0.0,-0.8246647417545319,-0.0,-1.0,0.0,-1.2564920255294711,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5445348024368286,0.0,1.0,1,-0.009092603003111566,0.0,-1.43649160861969,-0.0,-1.0,0.0,-1.4400400855890185,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.12178047001361847,1,-0.009092603003111566,0.0,-1.5445348024368286,-0.0,-1.0,0.0,-1.47245304373416,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5637834072113037,0.41112223267555237,0.28049710392951965,1,-0.009092603003111566,0.0,-1.5637834072113037,-0.0,-1.0,0.0,-1.4782276251665025,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6096658110618591,0.0,0.0,1,-0.009092603003111566,0.0,-0.04588240385055542,-0.0,-1.0,0.0,-1.0228573241582781,
25,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,0.0,-0.39033418893814087,-0.0,-1.0,0.0,-1.1261928596845538,
26,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
27,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.625680685043335,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
28,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.10107636451721191,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
29,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,1.0,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
30,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
31,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.18039830029010773,0.0,0.0,1,-0.009092603003111566,0.0,-1.1803983002901077,-0.0,-1.0,0.0,-1.363212093090144,
32,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.8230937719345093,1,-0.009092603003111566,0.0,-1.1803983002901077,-0.0,-1.0,0.0,-1.363212093090144,
33,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9607023000717163,0.0,0.0,1,-0.009092603003111566,0.0,-0.03929769992828369,-0.0,-1.0,0.0,-1.0208819129815967,
