step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.6,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.10249245166778564,1.0,0.6764384508132935,1,0.0,0.0,0.0,-0.8975075483322144,-1.0,0.0,-1.2692522644996642,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5151755809783936,1.0,0.0,1,0.0,0.0,0.0,-0.4126831293106079,-1.0,0.0,-1.1238049387931823,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8208580017089844,0.12432980537414551,0.0,1,0.0,0.0,0.0,-0.3056824207305908,-1.0,0.0,-1.0917047262191772,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.45137402415275574,1.0,0.24697965383529663,1,0.0,0.0,0.0,-0.36948397755622864,-1.0,0.0,-1.1108451932668686,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.025351040065288544,1.0,0.0,1,0.0,0.0,0.0,-0.4767250642180443,-1.0,0.0,-1.1430175192654133,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.07673192024230957,0.0,1,0.0,0.0,0.0,-0.9746489599347115,-1.0,0.0,-1.2923946879804133,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6745951175689697,1.0,0.0,1,0.0,0.0,0.0,-0.3254048824310303,-1.0,0.0,-1.097621464729309,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8831023573875427,0.0,0.0,1,0.0,0.0,0.0,-1.5576974749565125,-1.0,0.0,-1.4673092424869538,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.056359127163887024,1.0,0.23447299003601074,1,0.0,0.0,0.0,-0.9394614845514297,-1.0,0.0,-1.281838445365429,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7910878658294678,1.0,0.8370903730392456,1,0.0,0.0,0.0,-0.8474469929933548,-1.0,0.0,-1.2542340978980064,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6766610145568848,1.0,0.1253945529460907,1,0.0,0.0,0.0,-0.11442685127258301,-1.0,0.0,-1.0343280553817749,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6788781881332397,1.0,0.0,1,0.0,0.0,0.0,-1.3555392026901245,-1.0,0.0,-1.4066617608070373,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6101136207580566,1.0,0.0,1,0.0,0.0,0.0,-0.0687645673751831,-1.0,0.0,-1.0206293702125548,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-1.6101136207580566,-1.0,0.0,-1.483034086227417,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.18318317830562592,1.0,0.0,1,0.0,0.0,0.0,-1.183183178305626,-1.0,0.0,-1.3549549534916878,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.3089207112789154,0.5849686861038208,0.0,1,0.0,0.0,0.0,-0.1257375329732895,-1.0,0.0,-1.037721259891987,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.2621493339538574,1.0,0.0,1,0.0,0.0,0.0,-0.04677137732505798,-1.0,0.0,-1.0140314131975174,
