step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.451532244682312,1.0,0.0,1,0.0,0.0,0.0,-1.451532244682312,-1.0,0.0,-1.4354596734046936,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9452400803565979,1.0,0.0,1,0.0,0.0,0.0,-1.39677232503891,-1.0,0.0,-1.419031697511673,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0547599196434021,-1.0,0.0,-1.0164279758930206,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.34786367416381836,1.0,0.0,1,0.0,0.0,0.0,-0.6521363258361816,-1.0,0.0,-1.1956408977508546,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.6521363258361816,-1.0,0.0,-1.1956408977508546,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.015169501304626465,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8767958879470825,1.0,0.0,1,0.0,0.0,0.0,-1.8767958879470825,-1.0,0.0,-1.5630387663841248,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.12320411205291748,-1.0,0.0,-1.0369612336158753,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.1555478870868683,1.0,0.0,1,0.0,0.0,0.0,-1.1555478870868683,-1.0,0.0,-1.3466643661260604,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.14277052879333496,1.0,0.0,1,0.0,0.0,0.0,-0.29831841588020325,-1.0,0.0,-1.089495524764061,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.17474591732025146,1.0,0.0,1,0.0,0.0,0.0,-0.031975388526916504,-1.0,0.0,-1.0095926165580749,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-1.1747459173202515,-1.0,0.0,-1.3524237751960755,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8285943865776062,1.0,0.0,1,0.0,0.0,0.0,-1.8285943865776062,-1.0,0.0,-1.5485783159732818,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.8285943865776062,-1.0,0.0,-1.5485783159732818,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6899703741073608,1.0,0.0,1,0.0,0.0,0.0,-0.31002962589263916,-1.0,0.0,-1.0930088877677917,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7365606427192688,1.0,0.0,1,0.0,0.0,0.0,-1.4265310168266296,-1.0,0.0,-1.4279593050479888,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.4138123095035553,0.9863910675048828,0.0,1,0.0,0.0,0.0,-1.150372952222824,-1.0,0.0,-1.3451118856668471,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0982813835144043,1,0.0,0.0,0.0,-0.5861876904964447,-1.0,0.0,-1.1758563071489334,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.16720890998840332,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5545491576194763,1.0,0.0,1,0.0,0.0,0.0,-0.4454508423805237,-1.0,0.0,-1.133635252714157,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6062906384468079,1.0,0.0,1,0.0,0.0,0.0,-0.05174148082733154,-1.0,0.0,-1.0155224442481994,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.5615358352661133,0.08870524168014526,1,0.0,0.0,0.0,-0.39370936155319214,-1.0,0.0,-1.1181128084659577,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8020955920219421,0.8578130602836609,0.0,1,0.0,0.0,0.0,-0.19790440797805786,-1.0,0.0,-1.0593713223934174,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.4113668203353882,1.0,0.0,1,0.0,0.0,0.0,-0.39072877168655396,-1.0,0.0,-1.1172186315059662,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.3725951611995697,1,0.0,0.0,0.0,-0.5886331796646118,-1.0,0.0,-1.1765899538993836,
