step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8971147537231445,1.0,0.0,1,0.0,0.0,0.0,-0.10288524627685547,-0.0,-1.0,0.0,-1.0308655738830566,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.2670702338218689,1.0,0.3146400451660156,1,0.0,0.0,0.0,-1.1641849875450134,-0.0,-1.0,0.0,-1.349255496263504,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.49867820739746094,1.0,0.0,1,0.0,0.0,0.0,-0.7657484412193298,-0.0,-1.0,0.0,-1.229724532365799,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.12521123886108398,1.0,0.23121225833892822,1,0.0,0.0,0.0,-0.37346696853637695,-0.0,-1.0,0.0,-1.1120400905609131,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.49258288741111755,1.0,0.0,1,0.0,0.0,0.0,-0.6177941262722015,-0.0,-1.0,0.0,-1.1853382378816604,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.47350263595581055,0.5459573268890381,0.5641301274299622,1,0.0,0.0,0.0,-0.9660855233669281,-0.0,-1.0,0.0,-1.2898256570100783,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6243752241134644,1.0,0.5961815118789673,1,0.0,0.0,0.0,-0.1508725881576538,-0.0,-1.0,0.0,-1.0452617764472962,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.7551093101501465,1.0,0.3197847604751587,1,0.0,0.0,0.0,-0.13073408603668213,-0.0,-1.0,0.0,-1.0392202258110046,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6263604164123535,1.0,0.0,1,0.0,0.0,0.0,-0.12874889373779297,-0.0,-1.0,0.0,-1.0386246681213378,
