step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6169654130935669,0.0,0.0034236907958984375,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5231281518936157,0.0,0.0,1,0.0,0.0,0.0,-1.1400935649871826,-1.0,0.0,-1.3420280694961548,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.194524884223938,1.0,0.0,1,0.0,0.0,0.0,-0.32860326766967773,-1.0,0.0,-1.0985809803009032,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5486502051353455,1.0,0.0,1,0.0,0.0,0.0,-0.35412532091140747,-1.0,0.0,-1.1062375962734223,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9888094663619995,1.0,0.0,1,0.0,0.0,0.0,-0.44015926122665405,-1.0,0.0,-1.1320477783679963,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.9594755172729492,0.0,1,0.0,0.0,0.0,-1.9888094663619995,-1.0,0.0,-1.5966428399085997,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.0655980110168457,1.0,0.0,1,0.0,0.0,0.0,-1.0655980110168457,-1.0,0.0,-1.3196794033050536,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.05555667728185654,1.0,0.17123687267303467,1,0.0,0.0,0.0,-0.12115468829870224,-1.0,0.0,-1.0363464064896106,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.2177548110485077,1.0,0.0,1,0.0,0.0,0.0,-0.16219813376665115,-1.0,0.0,-1.0486594401299953,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8860737085342407,0.644163966178894,0.5354897975921631,1,0.0,0.0,0.0,-1.1038285195827484,-1.0,0.0,-1.3311485558748246,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.721078097820282,1.0,0.0,1,0.0,0.0,0.0,-0.16499561071395874,-1.0,0.0,-1.0494986832141877,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.39111196994781494,1.0,0.7837975025177002,1,0.0,0.0,0.0,-0.32996612787246704,-1.0,0.0,-1.09898983836174,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.774938702583313,0.5523689985275269,0.5216924548149109,1,0.0,0.0,0.0,-0.38382673263549805,-1.0,0.0,-1.1151480197906494,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8599485158920288,1.0,1.0,1,0.0,0.0,0.0,-0.08500981330871582,-1.0,0.0,-1.0255029439926147,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.39591121673583984,0.7345809936523438,0.5186603665351868,1,0.0,0.0,0.0,-1.2558597326278687,-1.0,0.0,-1.3767579197883606,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-0.6040887832641602,-1.0,0.0,-1.181226634979248,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.1613912731409073,1.0,0.0,1,0.0,0.0,0.0,-1.1613912731409073,-1.0,0.0,-1.3484173819422722,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7258757948875427,1.0,0.0,1,0.0,0.0,0.0,-0.88726706802845,-1.0,0.0,-1.266180120408535,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.2741242051124573,-1.0,0.0,-1.0822372615337372,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.37359222769737244,1.0,0.0,1,0.0,0.0,0.0,-1.3735922276973724,-1.0,0.0,-1.4120776683092118,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.34515637159347534,0.27095890045166016,0.0,1,0.0,0.0,0.0,-0.028435856103897095,-1.0,0.0,-1.0085307568311692,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6555569171905518,1.0,0.03762061893939972,1,0.0,0.0,0.0,-1.000713288784027,-1.0,0.0,-1.300213986635208,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.032030150294303894,1.0,0.7209128141403198,1,0.0,0.0,0.0,-0.6875870674848557,-1.0,0.0,-1.2062761202454566,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7352293729782104,0.6842362880706787,0.0,1,0.0,0.0,0.0,-0.7031992226839066,-1.0,0.0,-1.210959766805172,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.25138288736343384,1,0.0,0.0,0.0,-1.7352293729782104,-1.0,0.0,-1.520568811893463,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8546438813209534,1.0,0.0,1,0.0,0.0,0.0,-0.14535611867904663,-1.0,0.0,-1.043606835603714,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.4185171127319336,0.0,1,0.0,0.0,0.0,-0.14535611867904663,-1.0,0.0,-1.043606835603714,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7798415422439575,0.9876980185508728,0.0,1,0.0,0.0,0.0,-1.7798415422439575,-1.0,0.0,-1.533952462673187,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.9849266409873962,0.0,1,0.0,0.0,0.0,-0.22015845775604248,-1.0,0.0,-1.0660475373268128,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.22952188551425934,1.0,0.033946692943573,1,0.0,0.0,0.0,-1.2295218855142593,-1.0,0.0,-1.3688565656542777,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.10284681618213654,1.0,0.0,1,0.0,0.0,0.0,-0.1266750693321228,-1.0,0.0,-1.0380025207996368,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.17678284645080566,1.0,1.0,1,0.0,0.0,0.0,-0.2796296626329422,-1.0,0.0,-1.0838888987898827,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.36091405153274536,1.0,0.11553452163934708,1,0.0,0.0,0.0,-0.1841312050819397,-1.0,0.0,-1.0552393615245819,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.1827183961868286,1.0,0.20616400241851807,1,0.0,0.0,0.0,-0.17819565534591675,-1.0,0.0,-1.0534586966037751,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6165986657142639,0.6754042506217957,0.3101404309272766,1,0.0,0.0,0.0,-0.7993170619010925,-1.0,0.0,-1.2397951185703278,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.3690074682235718,1,0.0,0.0,0.0,-1.616598665714264,-1.0,0.0,-1.4849795997142792,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6458109617233276,1.0,0.0,1,0.0,0.0,0.0,-0.35418903827667236,-1.0,0.0,-1.1062567114830018,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.3012755513191223,1.0,0.0,1,0.0,0.0,0.0,-0.3445354104042053,-1.0,0.0,-1.1033606231212616,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.5445998907089233,1,0.0,0.0,0.0,-0.6987244486808777,-1.0,0.0,-1.2096173346042634,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.6,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.7745628356933594,0.5211280584335327,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3527253568172455,1.0,0.0,1,0.0,0.0,0.0,-0.6472746431827545,-1.0,0.0,-1.1941823929548263,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.21282003819942474,1.0,0.37900543212890625,1,0.0,0.0,0.0,-0.5655453950166702,-1.0,0.0,-1.1696636185050011,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.02748808264732361,1.0,0.0,1,0.0,0.0,0.0,-0.24030812084674835,-1.0,0.0,-1.0720924362540245,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9665775299072266,0.12874257564544678,1.0,1,0.0,0.0,0.0,-0.9940656125545502,-1.0,0.0,-1.298219683766365,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.20075727999210358,1.0,0.8222198486328125,1,0.0,0.0,0.0,-0.765820249915123,-1.0,0.0,-1.2297460749745368,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.1792510449886322,1.0,0.0,1,0.0,0.0,0.0,-0.3800083249807358,-1.0,0.0,-1.1140024974942206,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.055186688899993896,1,0.0,0.0,0.0,-0.8207489550113678,-1.0,0.0,-1.2462246865034103,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6642755270004272,1.0,0.0,1,0.0,0.0,0.0,-1.6642755270004272,-1.0,0.0,-1.4992826581001282,
49,-0.0834957,-0.00327703,4.65552e-05,0.333334,6351.65,-0.000488281,0.3163143992424011,1.0,1.0,1,-0.08349375633001066,0.0,0.0,-0.9805899262428284,-1.0,0.0,-1.3776707342028591,
50,0.00688603,-0.00081726,0.000196282,0.333334,6351.65,-0.000488281,-0.6167383193969727,1.0,0.0,1,0.006885354065486366,0.0,0.0,-0.9330527186393738,-1.0,0.0,-1.2730304615263257,
51,0.0638674,0.0065447,0.00015432,0.333334,6351.65,-0.000976563,1.0,1.0,0.0,1,0.06386247123094528,0.0,0.0,-1.6167383193969727,-1.0,0.0,-1.4211590245881465,
52,0.71554,0.0487471,2.03292e-05,0.333334,6351.65,0.000976563,0.5169574618339539,1.0,0.0,1,0.7155327266742586,0.0,0.0,-0.48304253816604614,-1.0,0.0,-0.4293800347755552,
53,1.6271,0.0835293,-0.000247653,0.333375,6351.66,0.00830078,0.2407151162624359,0.9663618206977844,0.0,1,1.6268984720072543,0.0,0.0,-0.27624234557151794,-1.0,0.0,0.544025768335799,
54,1.41019,0.0546145,-0.000380214,0.333436,6351.67,0.0166016,-0.9670431017875671,1.0,0.6255412697792053,1,1.4099218110857037,0.0,0.0,-1.207758218050003,-1.0,0.0,0.047594345670702864,
55,1.98473,0.0532168,-0.000469859,0.333436,6351.68,0.0263672,1.0,0.8947238922119141,0.0,1,1.9842635093087053,0.0,0.0,-1.9670431017875671,-1.0,0.0,0.3941505787724351,
56,2.81465,0.00547642,-0.00053614,0.333477,6351.69,0.0395508,-0.4274401366710663,1.0,0.0,1,2.813895072280575,0.0,0.0,-1.4274401366710663,-1.0,0.0,1.3856630312792548,
57,2.10405,-0.0117529,-0.000450786,0.333477,6351.71,0.0541992,0.5280776023864746,0.9870731830596924,1.0,1,2.1035755480944998,0.0,0.0,-0.9555177390575409,-1.0,0.0,0.8169202263772375,
58,1.42589,0.00159032,-0.000444587,0.333477,6351.72,0.0639648,-0.805543065071106,1.0,0.7581064105033875,1,1.4255728930127312,0.0,0.0,-1.3336206674575806,-1.0,0.0,0.0254866927754569,
59,2.11196,0.0514676,-0.000597175,0.333477,6351.73,0.0737305,1.0,1.0,0.0,1,2.111329018599537,0.0,0.0,-1.805543065071106,-1.0,0.0,0.5696660990782054,
60,2.88472,-0.0409903,-0.00067776,0.333507,6351.74,0.0888672,-0.35854703187942505,1.0,0.0,1,2.8837417636007725,0.0,0.0,-1.358547031879425,-1.0,0.0,1.476177654036945,
61,2.95616,-0.19151,-1.68641e-05,0.333395,6351.76,0.105469,-1.0,0.009854555130004883,0.0,1,2.9561350730907106,0.0,0.0,-0.641452968120575,-1.0,0.0,1.763699182654538,
62,3.5394,-0.242884,0.00100929,0.333192,6351.77,0.123047,-0.49932292103767395,1.0,0.0,1,3.5376120570566414,0.0,0.0,-0.500677078962326,-1.0,0.0,2.3874089333679436,
63,4.48174,-0.21072,0.00195247,0.332989,6351.8,0.145508,-0.3038228154182434,1.0,0.0,1,4.477356228825498,0.0,0.0,-0.19550010561943054,-1.0,0.0,3.4187061971396693,
