step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.27682065963745117,1.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.3351903259754181,1.0,0.0,1,-0.009092603003111566,0.0,-0.6120109856128693,-0.0,-1.0,0.0,-1.1926958986869725,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.6648096740245819,-0.0,-1.0,0.0,-1.2085355052104862,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9527166485786438,1.0,0.0,1,-0.009092603003111566,0.0,-0.0472833514213562,-0.0,-1.0,0.0,-1.0232776084295185,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6637922525405884,1.0,0.0,1,-0.009092603003111566,0.0,-0.2889243960380554,-0.0,-1.0,0.0,-1.0957699218145283,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9734572172164917,1.0,0.0,1,-0.009092603003111566,0.0,-0.3096649646759033,-0.0,-1.0,0.0,-1.1019920924058826,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.36274802684783936,0.0,1,-0.009092603003111566,0.0,-1.9734572172164917,-0.0,-1.0,0.0,-1.6011297681680592,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.180446594953537,0.8647035360336304,0.0,1,-0.009092603003111566,0.0,-1.180446594953537,-0.0,-1.0,0.0,-1.3632265814891726,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.180446594953537,-0.0,-1.0,0.0,-1.3632265814891726,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.19183602929115295,1.0,0.1324276626110077,1,-0.009092603003111566,0.0,-0.808163970708847,-0.0,-1.0,0.0,-1.2515417942157656,
