step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_recovery,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8213229179382324,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8562852144241333,0.0,0.18957507610321045,1,-0.009092603003111566,1.522224058775e-05,-0.03496229648590088,-0.0,0.016671950000000102,-1.0,0.0,-1.002894119708294,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.588188648223877,0.02379751205444336,0.26195573806762695,1,-0.009092603003111566,1.522224058775e-05,-0.26809656620025635,-0.0,0.016671950000000102,-1.0,0.0,-1.0728344006226007,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8809913396835327,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.4691799879074097,-0.0,0.016671950000000102,-1.0,0.0,-1.4331594271347465,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.32247722148895264,0.5328066349029541,0.32683348655700684,1,-0.009092603003111566,1.522224058775e-05,-1.2034685611724854,-0.0,0.016671950000000102,-1.0,0.0,-1.3534459991142693,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.21357105672359467,0.0,0.951508641242981,1,-0.009092603003111566,1.522224058775e-05,-0.10890616476535797,-0.0,0.016671950000000102,-1.0,0.0,-1.025077280192131,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6945436000823975,0.30639582872390747,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.4809725433588028,-0.0,0.016671950000000102,-1.0,0.0,-1.1366971937701646,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.842695951461792,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.30545639991760254,-0.0,0.016671950000000102,-1.0,0.0,-1.0840423507378045,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4016653001308441,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5983346998691559,-0.0,0.016671950000000102,-1.0,0.0,-1.1719058407232705,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.09389838576316833,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.49556368589401245,-0.0,0.016671950000000102,-1.0,0.0,-1.1410745365307275,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2290133535861969,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.32291173934936523,-0.0,0.016671950000000102,-1.0,0.0,-1.0892789525673332,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6557667255401611,0.1703651249408722,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.42675337195396423,-0.0,0.016671950000000102,-1.0,0.0,-1.120431442348713,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.22606566548347473,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8818323910236359,-0.0,0.016671950000000102,-1.0,0.0,-1.2569551480696144,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.018961936235427856,0.35610586404800415,0.7189454436302185,1,-0.009092603003111566,1.522224058775e-05,-0.20710372924804688,-0.0,0.016671950000000102,-1.0,0.0,-1.0545365495369379,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5731494426727295,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5541875064373016,-0.0,0.016671950000000102,-1.0,0.0,-1.1586616826937142,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8831387758255005,0.0,0.5883088111877441,1,-0.009092603003111566,1.522224058775e-05,-1.45628821849823,-0.0,0.016671950000000102,-1.0,0.0,-1.4292918963119927,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4431215226650238,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.4400172531604767,-0.0,0.016671950000000102,-1.0,0.0,-1.1244106067106667,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6957504749298096,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.25262895226478577,-0.0,0.016671950000000102,-1.0,0.0,-1.0681941164419595,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8816951513290405,0.7860647439956665,0.874657392501831,1,-0.009092603003111566,1.522224058775e-05,-0.18594467639923096,-0.0,0.016671950000000102,-1.0,0.0,-1.048188833682293,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.2556810975074768,1,-0.009092603003111566,1.522224058775e-05,-0.11830484867095947,-0.0,0.016671950000000102,-1.0,0.0,-1.0278968853638115,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.41812217235565186,0.40512871742248535,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.016671950000000102,-1.0,0.0,-0.9924054307625237,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.20043334364891052,0.0,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,0.016671950000000102,-1.0,0.0,-1.5924054307625237,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.08624797314405441,1.0,0.6002523303031921,1,-0.009092603003111566,1.522224058775e-05,-1.0862479731440544,-0.0,0.016671950000000102,-1.0,0.0,-1.31827982270574,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-1.0862479731440544,-0.0,0.016671950000000102,-1.0,0.0,-1.31827982270574,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.43538519740104675,0.770179271697998,0.7768423557281494,1,-0.009092603003111566,1.522224058775e-05,-0.5646148025989532,-0.0,0.016671950000000102,-1.0,0.0,-1.1617898715422097,
25,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.07114744186401367,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.3642377555370331,-0.0,0.016671950000000102,-1.0,0.0,-1.1016767574236337,
26,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.6565821170806885,1,-0.009092603003111566,1.522224058775e-05,-1.0711474418640137,-0.0,0.016671950000000102,-1.0,0.0,-1.3137496633217278,
27,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4145297408103943,0.03925951570272446,0.47673434019088745,1,-0.009092603003111566,1.522224058775e-05,-0.5854702591896057,-0.0,0.016671950000000102,-1.0,0.0,-1.1680465085194054,
28,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4497629404067993,1.0,0.8892966508865356,1,-0.009092603003111566,1.522224058775e-05,-0.8642926812171936,-0.0,0.016671950000000102,-1.0,0.0,-1.2516932351276817,
