step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_recovery,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4572744369506836,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.5427255630493164,-0.0,0.016671950000000102,-1.0,0.0,-1.1552230996773187,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-2.0,-0.0,0.016671950000000102,-1.0,0.0,-1.5924054307625237,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.27202579379081726,0.0,0.5446875095367432,1,-0.009092603003111566,1.522224058775e-05,-1.2720257937908173,-0.0,0.016671950000000102,-1.0,0.0,-1.374013168899769,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.5997340679168701,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.7279742062091827,-0.0,0.016671950000000102,-1.0,0.0,-1.2107976926252786,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,0.016671950000000102,-1.0,0.0,-0.9924054307625237,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.24582624435424805,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.754173755645752,-0.0,0.016671950000000102,-1.0,0.0,-1.2186575574562493,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.2685895562171936,0.3946763277053833,0.04577849805355072,1,-0.009092603003111566,1.522224058775e-05,-0.022763311862945557,-0.0,0.016671950000000102,-1.0,0.0,-0.9992344243214074,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.64065021276474,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.3720606565475464,-0.0,0.016671950000000102,-1.0,0.0,-1.1040236277267876,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.45016491413116455,0.308834046125412,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.19048529863357544,-0.0,0.016671950000000102,-1.0,0.0,-1.0495510203525964,
