step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.541840672492981,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.30727267265319824,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6927273273468018,-0.0,-1.0,0.0,-1.2168955789665643,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8910369873046875,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5837643146514893,-0.0,-1.0,0.0,-1.1842066751579705,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.3472443222999573,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.2382813096046448,-0.0,-1.0,0.0,-1.380561773643917,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7945190668106079,0.6138060688972473,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.44727474451065063,-0.0,-1.0,0.0,-1.143259804115719,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.01824088767170906,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7762781791388988,-0.0,-1.0,0.0,-1.2419608345041935,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7010345458984375,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7192754335701466,-0.0,-1.0,0.0,-1.2248600108335679,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.3671633005142212,1,-0.009092603003111566,1.522224058775e-05,-0.2989654541015625,-0.0,-1.0,0.0,-1.0987670169929926,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.415421724319458,0.8598526120185852,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.415421724319458,-0.0,-1.0,0.0,-1.4337038980583612,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2515757083892822,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6669974327087402,-0.0,-1.0,0.0,-1.2091766105751458,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.021511197090148926,0.0,0.14207398891448975,1,-0.009092603003111566,1.522224058775e-05,-0.27308690547943115,-0.0,-1.0,0.0,-1.0910034524063532,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.782892644405365,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8044038414955139,-0.0,-1.0,0.0,-1.250398533211178,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8382322788238525,0.6523510813713074,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.05533963441848755,-0.0,-1.0,0.0,-1.02567927108807,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9192225337028503,1.0,0.6952402591705322,1,-0.009092603003111566,1.522224058775e-05,-0.0809902548789978,-0.0,-1.0,0.0,-1.0333744572262231,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.1804022192955017,0.12935221195220947,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.099624752998352,-0.0,-1.0,0.0,-1.3389648066620294,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.1804022192955017,-0.0,-1.0,0.0,-1.3631980465511742,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.44515177607536316,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5548482239246368,-0.0,-1.0,0.0,-1.1755318479399148,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.3573004901409149,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8024522662162781,-0.0,-1.0,0.0,-1.2498130606274072,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.2219473272562027,0.2552891671657562,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.13535316288471222,-0.0,-1.0,0.0,-1.0496833296279375,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.7954537868499756,1,-0.009092603003111566,1.522224058775e-05,-1.2219473272562027,-0.0,-1.0,0.0,-1.3756615789393845,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.369552880525589,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.630447119474411,-0.0,-1.0,0.0,-1.198211516604847,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.18236859142780304,1,-0.009092603003111566,1.522224058775e-05,-0.630447119474411,-0.0,-1.0,0.0,-1.198211516604847,
