step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.750040590763092,0.0,0.9925532937049866,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,0.0,-1.750040590763092,-0.0,-1.0,0.0,-1.5341047802320391,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.3453123867511749,1.0,0.07737903296947479,1,-0.009092603003111566,0.0,-1.345312386751175,-0.0,-1.0,0.0,-1.412686319028464,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.21286095678806305,1,-0.009092603003111566,0.0,-1.345312386751175,-0.0,-1.0,0.0,-1.412686319028464,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.36724185943603516,1.0,0.5292844176292419,1,-0.009092603003111566,0.0,-1.3672418594360352,-0.0,-1.0,0.0,-1.419265160833922,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.6327581405639648,-0.0,-1.0,0.0,-1.198920045172301,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.12497805058956146,0.012364231050014496,0.0,1,-0.009092603003111566,0.0,-1.1249780505895615,-0.0,-1.0,0.0,-1.34658601817998,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.2429790496826172,0.8590965270996094,1,-0.009092603003111566,0.0,-1.1249780505895615,-0.0,-1.0,0.0,-1.34658601817998,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4453861117362976,0.31563881039619446,0.0,1,-0.009092603003111566,0.0,-1.4453861117362976,-0.0,-1.0,0.0,-1.4427084365240008,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.36370453238487244,0.0,0.583163321018219,1,-0.009092603003111566,0.0,-0.08168157935142517,-0.0,-1.0,0.0,-1.0335970768085392,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.3637045323848724,-0.0,-1.0,0.0,-1.4182039627185732,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.5860930681228638,0.8643467426300049,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.48739373683929443,0.0,0.0,1,-0.009092603003111566,0.0,-0.5126062631607056,-0.0,-1.0,0.0,-1.1628744819513233,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.5126062631607056,-0.0,-1.0,0.0,-1.1628744819513233,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.20046982169151306,0.0,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
