step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.27866750955581665,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.011567234992980957,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8064981698989868,0.0,0.33297234773635864,1,-0.009092603003111566,0.0,-0.19350183010101318,-0.0,-1.0,0.0,-1.0671431520334156,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.07412220537662506,0.0,0.0,1,-0.009092603003111566,0.0,-0.8806203752756119,-0.0,-1.0,0.0,-1.273278715585795,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.074122205376625,-0.0,-1.0,0.0,-1.331329264616099,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.5861770510673523,0.0,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4061061441898346,0.0,0.0,1,-0.009092603003111566,0.0,-0.5938938558101654,-0.0,-1.0,0.0,-1.1872607597461613,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8630219101905823,1.0,0.29336848855018616,1,-0.009092603003111566,0.0,-1.2691280543804169,-0.0,-1.0,0.0,-1.3898310193172365,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.8630219101905823,-0.0,-1.0,0.0,-1.5679991760602863,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.6301804780960083,0.29358595609664917,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5973933339118958,0.0,0.13056784868240356,1,-0.009092603003111566,0.0,-0.40260666608810425,-0.0,-1.0,0.0,-1.1298746028295428,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.13914766907691956,1,-0.009092603003111566,0.0,-0.40260666608810425,-0.0,-1.0,0.0,-1.1298746028295428,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9489266872406006,0.0,0.25522688031196594,1,-0.009092603003111566,0.0,-0.051073312759399414,-0.0,-1.0,0.0,-1.0244145968309315,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.23669350147247314,0.6821824312210083,1,-0.009092603003111566,0.0,-0.051073312759399414,-0.0,-1.0,0.0,-1.0244145968309315,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.634111762046814,0.0,0.0,1,-0.009092603003111566,0.0,-0.36588823795318604,-0.0,-1.0,0.0,-1.1188590743890674,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.04738358408212662,0.0,1,-0.009092603003111566,0.0,-0.36588823795318604,-0.0,-1.0,0.0,-1.1188590743890674,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7111319303512573,0.0,0.0,1,-0.009092603003111566,0.0,-0.2888680696487427,-0.0,-1.0,0.0,-1.0957530238977344,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.22891922295093536,1.0,0.0,1,-0.009092603003111566,0.0,-0.48221270740032196,-0.0,-1.0,0.0,-1.1537564152232083,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.6310033202171326,1,-0.009092603003111566,0.0,-0.7710807770490646,-0.0,-1.0,0.0,-1.240416836117831,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,1.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.35792556405067444,0.3515377342700958,0.8148917555809021,1,-0.009092603003111566,0.0,-1.3579255640506744,-0.0,-1.0,0.0,-1.4164702722183138,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.15897010266780853,1,-0.009092603003111566,0.0,-1.3579255640506744,-0.0,-1.0,0.0,-1.4164702722183138,
25,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.025397194549441338,0.7646968364715576,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
26,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.47246986627578735,0.5456886291503906,0.7398273944854736,1,-0.009092603003111566,0.0,-1.4724698662757874,-0.0,-1.0,0.0,-1.4508335628858477,
27,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.28505414724349976,0.0,1,-0.009092603003111566,0.0,-1.4724698662757874,-0.0,-1.0,0.0,-1.4508335628858477,
28,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.7320775389671326,0.5451921820640564,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
29,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.25245627760887146,0.0,1.0,1,-0.009092603003111566,0.0,-0.7475437223911285,-0.0,-1.0,0.0,-1.23335571972045,
30,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.841431736946106,0.0,0.826586127281189,1,-0.009092603003111566,0.0,-1.0938880145549774,-0.0,-1.0,0.0,-1.3372590073696047,
