step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4625391960144043,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5893961191177368,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.0519353151321411,-0.0,-1.0,0.0,-1.3246579753021661,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.3602558970451355,0.6488863229751587,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.22914022207260132,-0.0,-1.0,0.0,-1.0778194473843041,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4013354182243347,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.04107952117919922,-0.0,-1.0,0.0,-1.0214012371162835,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6461456418037415,0.7515758275985718,0.6447310447692871,1,-0.009092603003111566,1.522224058775e-05,-1.0474810600280762,-0.0,-1.0,0.0,-1.3233216987709466,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9269680976867676,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.573113739490509,-0.0,-1.0,0.0,-1.4810115026096764,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.06710520386695862,1,-0.009092603003111566,1.522224058775e-05,-0.07303190231323242,-0.0,-1.0,0.0,-1.0309869514564935,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.22958631813526154,0.8221108317375183,0.6400890946388245,1,-0.009092603003111566,1.522224058775e-05,-0.7704136818647385,-0.0,-1.0,0.0,-1.2402014853219454,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.13057968020439148,0.4540354609489441,0.19668950140476227,1,-0.009092603003111566,1.522224058775e-05,-0.360165998339653,-0.0,-1.0,0.0,-1.1171271802644198,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.0957295298576355,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.22630921006202698,-0.0,-1.0,0.0,-1.0769701437811319,
