step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.1875416785478592,1.0,0.5816022157669067,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.00752943754196167,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.18001224100589752,-0.0,-1.0,0.0,-1.0630810530642931,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7814061641693115,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7738767266273499,-0.0,-1.0,0.0,-1.2412403987507288,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7361125946044922,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.045293569564819336,-0.0,-1.0,0.0,-1.0226654516319695,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.1996663212776184,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.9357789158821106,-0.0,-1.0,0.0,-1.289811055527157,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8003336787223816,-0.0,-1.0,0.0,-1.2491774843792383,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5648597478866577,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.4351402521133423,-0.0,-1.0,0.0,-1.1396194563965265,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.13480788469314575,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6996676325798035,-0.0,-1.0,0.0,-1.2189776705364648,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.027037858963012695,0.7917037606239319,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.16184574365615845,-0.0,-1.0,0.0,-1.0576311038593713,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6761876344680786,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6491497755050659,-0.0,-1.0,0.0,-1.2038223134140436,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4919781982898712,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.1681658327579498,-0.0,-1.0,0.0,-1.3595271305899086,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5080218017101288,-0.0,-1.0,0.0,-1.1614839212755625,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7460198998451233,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.2539801001548767,-0.0,-1.0,0.0,-1.085271410808987,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.29193368554115295,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.0379535853862762,-0.0,-1.0,0.0,-1.3204634563784068,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.291933685541153,-0.0,-1.0,0.0,-1.3966574864248695,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.45720911026000977,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.4572091102600098,-0.0,-1.0,0.0,-1.4462401138405268,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.11907133460044861,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.5762804448604584,-0.0,-1.0,0.0,-1.1819615142206614,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.8518173694610596,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.1190713346004486,-0.0,-1.0,0.0,-1.3447987811426585,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.3503624200820923,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.3503624200820923,-0.0,-1.0,0.0,-1.4141861067871515,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6759418249130249,0.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.3255794048309326,-0.0,-1.0,0.0,-1.1067512022118036,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9423441886901855,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.26640236377716064,-0.0,-1.0,0.0,-1.088998089895672,
