step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8898882865905762,1.0,0.7613019943237305,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2092202603816986,1.0,0.10973075032234192,1,-0.009092603003111566,1.522224058775e-05,-1.0991085469722748,-0.0,-1.0,0.0,-1.3388099448542063,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.865831732749939,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7907797396183014,-0.0,-1.0,0.0,-1.2463113026480142,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.05883195996284485,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.4020020663738251,0.524587094783783,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9958069324493408,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.00419306755065918,-0.0,-1.0,0.0,-1.0103353010277216,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.09697971493005753,0.032785527408123016,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.0927866473793983,-0.0,-1.0,0.0,-1.3369133749763433,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9043839573860168,0.0,0.45044416189193726,1,-0.009092603003111566,1.522224058775e-05,-1.0013636723160744,-0.0,-1.0,0.0,-1.3094864824573462,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.41516196727752686,1.0,0.9395935535430908,1,-0.009092603003111566,1.522224058775e-05,-1.3195459246635437,-0.0,-1.0,0.0,-1.404941158161587,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.0067328885197639465,0.0,0.44931459426879883,1,-0.009092603003111566,1.522224058775e-05,-0.4084290787577629,-0.0,-1.0,0.0,-1.1316061043898527,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-1.006732888519764,-0.0,-1.0,0.0,-1.311097247318453,
