step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7328411936759949,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.2671588063240051,-0.0,-1.0,0.0,-1.0892250226597253,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6028702259063721,1.0,0.3333585262298584,1,-0.009092603003111566,1.522224058775e-05,-1.335711419582367,-0.0,-1.0,0.0,-1.409790806637234,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.39712977409362793,-0.0,-1.0,0.0,-1.1282163129906122,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.3423076570034027,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6576923429965973,-0.0,-1.0,0.0,-1.206385083661503,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.13463568687438965,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.3423076570034027,-0.0,-1.0,0.0,-1.4117696778635445,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6044633388519287,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.6044633388519287,-0.0,-1.0,0.0,-1.4904163824181023,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.3955366611480713,-0.0,-1.0,0.0,-1.1277383791069453,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.3186759948730469,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6813240051269531,-0.0,-1.0,0.0,-1.2134745823006097,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8436203002929688,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.5249443054199219,-0.0,-1.0,0.0,-1.1665606723885005,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.12530285120010376,0.9184223413467407,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.718317449092865,-0.0,-1.0,0.0,-1.2245726154903833,
