step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5218502879142761,0.41604045033454895,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9868117570877075,0.6728165149688721,0.4633220434188843,1,0.0,0.0,0.0,-0.4649614691734314,-0.0,-1.0,0.0,-1.1394884407520294,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.8452380299568176,1.0,1,0.0,0.0,0.0,-1.9868117570877075,-0.0,-1.0,0.0,-1.5960435271263123,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.014773011207580566,0.23596778512001038,1.0,1,0.0,0.0,0.0,-0.9852269887924194,-0.0,-1.0,0.0,-1.2955680966377259,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.525040864944458,1.0,0.0,1,0.0,0.0,0.0,-0.5102678537368774,-0.0,-1.0,0.0,-1.1530803561210632,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-0.474959135055542,-0.0,-1.0,0.0,-1.1424877405166627,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.4603644609451294,1.0,0.0,1,0.0,0.0,0.0,-0.5396355390548706,-0.0,-1.0,0.0,-1.1618906617164613,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.3650616705417633,0.36569783091545105,0.0,1,0.0,0.0,0.0,-0.09530279040336609,-0.0,-1.0,0.0,-1.0285908371210097,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9027718901634216,1.0,0.839257001876831,1,0.0,0.0,0.0,-0.5377102196216583,-0.0,-1.0,0.0,-1.1613130658864974,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.8954215049743652,0.0,1,0.0,0.0,0.0,-0.09722810983657837,-0.0,-1.0,0.0,-1.0291684329509736,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.24919116497039795,0.0,0.0,1,0.0,0.0,0.0,-0.750808835029602,-0.0,-1.0,0.0,-1.2252426505088807,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3060450553894043,1.0,0.0,1,0.0,0.0,0.0,-0.5552362203598022,-0.0,-1.0,0.0,-1.1665708661079406,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8640258312225342,1.0,0.0,1,0.0,0.0,0.0,-1.1700708866119385,-0.0,-1.0,0.0,-1.3510212659835816,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.13597416877746582,-0.0,-1.0,0.0,-1.0407922506332397,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.07895150780677795,0.8803973197937012,0.0,1,0.0,0.0,0.0,-0.921048492193222,-0.0,-1.0,0.0,-1.2763145476579667,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.46494802832603455,1.0,0.0,1,0.0,0.0,0.0,-0.5438995361328125,-0.0,-1.0,0.0,-1.1631698608398438,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.9055646061897278,0.08795098960399628,1,0.0,0.0,0.0,-1.4649480283260345,-0.0,-1.0,0.0,-1.4394844084978105,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8156658411026001,0.8102346062660217,0.0,1,0.0,0.0,0.0,-1.8156658411026,-0.0,-1.0,0.0,-1.54469975233078,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9172742366790771,0.2147095799446106,0.3223923146724701,1,0.0,0.0,0.0,-1.7329400777816772,-0.0,-1.0,0.0,-1.5198820233345032,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7030385136604309,1.0,0.0,1,0.0,0.0,0.0,-0.21423572301864624,-0.0,-1.0,0.0,-1.0642707169055938,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-1.703038513660431,-0.0,-1.0,0.0,-1.5109115540981293,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6418861746788025,0.7023056745529175,1.0,1,0.0,0.0,0.0,-0.3581138253211975,-0.0,-1.0,0.0,-1.1074341475963592,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.368590772151947,1,0.0,0.0,0.0,-1.6418861746788025,-0.0,-1.0,0.0,-1.4925658524036407,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9252688884735107,0.0,0.0,1,0.0,0.0,0.0,-0.07473111152648926,-0.0,-1.0,0.0,-1.0224193334579468,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5840274095535278,0.0,0.0,1,0.0,0.0,0.0,-1.5092962980270386,-0.0,-1.0,0.0,-1.4527888894081116,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,-1.5840274095535278,-0.0,-1.0,0.0,-1.4752082228660583,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.15477973222732544,1.0,0.796351969242096,1,0.0,0.0,0.0,-1.1547797322273254,-0.0,-1.0,0.0,-1.3464339196681976,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3873869776725769,0.0,0.0,1,0.0,0.0,0.0,-0.23260724544525146,-0.0,-1.0,0.0,-1.0697821736335755,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.14945781230926514,1,0.0,0.0,0.0,-1.387386977672577,-0.0,-1.0,0.0,-1.4162160933017731,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.192037433385849,0.7860217094421387,0.4403984844684601,1,0.0,0.0,0.0,-1.192037433385849,-0.0,-1.0,0.0,-1.3576112300157548,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.15256032347679138,0.0,0.5035091042518616,1,0.0,0.0,0.0,-0.3445977568626404,-0.0,-1.0,0.0,-1.1033793270587922,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6033284068107605,0.0,0.7795457243919373,1,0.0,0.0,0.0,-0.7558887302875519,-0.0,-1.0,0.0,-1.2267666190862656,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.023096922785043716,0.6654506921768188,0.41316136717796326,1,0.0,0.0,0.0,-0.6264253295958042,-0.0,-1.0,0.0,-1.1879275988787412,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7836508750915527,0.8316900730133057,0.0,1,0.0,0.0,0.0,-0.760553952306509,-0.0,-1.0,0.0,-1.2281661856919528,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.14916008710861206,0.6016857624053955,0.0,1,0.0,0.0,0.0,-0.9328109622001648,-0.0,-1.0,0.0,-1.2798432886600495,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.2606181800365448,1.0,0.0,1,0.0,0.0,0.0,-0.40977826714515686,-0.0,-1.0,0.0,-1.122933480143547,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.7835707664489746,0.0,1,0.0,0.0,0.0,-0.7393818199634552,-0.0,-1.0,0.0,-1.2218145459890366,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.45970168709754944,0.30517739057540894,0.0,1,0.0,0.0,0.0,-1.4597016870975494,-0.0,-1.0,0.0,-1.4379105061292647,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.588491678237915,0.937279462814331,1,0.0,0.0,0.0,-0.5402983129024506,-0.0,-1.0,0.0,-1.1620894938707351,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.4191414713859558,1.0,0.0,1,0.0,0.0,0.0,-0.5808585286140442,-0.0,-1.0,0.0,-1.1742575585842132,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6815582513809204,0.40316230058670044,1.0,1,0.0,0.0,0.0,-0.2624167799949646,-0.0,-1.0,0.0,-1.0787250339984893,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.3184417486190796,-0.0,-1.0,0.0,-1.095532524585724,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.2987912595272064,1.0,0.0,1,0.0,0.0,0.0,-1.2987912595272064,-0.0,-1.0,0.0,-1.3896373778581619,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.36536648869514465,0.0,0.6291508674621582,1,0.0,0.0,0.0,-0.06657522916793823,-0.0,-1.0,0.0,-1.0199725687503816,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-0.6346335113048553,-0.0,-1.0,0.0,-1.1903900533914566,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.11669152230024338,0.6599524021148682,0.0,1,0.0,0.0,0.0,-1.1166915223002434,-0.0,-1.0,0.0,-1.335007456690073,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9530734419822693,0.5034981369972229,0.8457196354866028,1,0.0,0.0,0.0,-0.8363819196820259,-0.0,-1.0,0.0,-1.2509145759046079,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.49073219299316406,1,0.0,0.0,0.0,-1.9530734419822693,-0.0,-1.0,0.0,-1.5859220325946808,
49,0.194163,0.000645056,3.16301e-06,0.333334,6351.65,0.000488281,0.0,-0.7650284767150879,1.0,0.0,1,0.1941626929292734,0.0,0.0,-1.765028476715088,-0.0,-1.0,0.0,-1.3353458500852529,
50,0.17392,0.00858891,-7.80424e-06,0.333334,6351.65,0.00195313,0.0,0.47661465406417847,1.0,0.0,1,0.1739193213379932,0.0,0.0,-1.2416431307792664,-0.0,-1.0,0.0,-1.1985736178957866,
51,0.187512,0.00885353,-5.26269e-05,0.333334,6351.65,0.00244141,0.0,1.0,0.7667641043663025,0.0,1,0.18750706565270014,0.0,0.0,-0.5233853459358215,-0.0,-1.0,0.0,-0.9695085381280463,
52,-0.0639708,-0.000926769,-0.000206168,0.333334,6351.65,0.00292969,0.0,-1.0,0.0,0.9168689250946045,1,-0.06396420427455228,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6639642042745524,
53,0.693126,0.0446293,3.55879e-05,0.333355,6351.66,0.00488281,0.0,0.67868572473526,1.0,0.0,1,0.6931136661116933,0.0,0.0,-1.67868572473526,-0.0,-1.0,0.0,-0.8104920513088847,
54,1.7047,0.0643552,-0.000263866,0.333446,6351.66,0.012207,0.0,-0.2933019995689392,1.0,0.0,1,1.7044750344724149,0.0,0.0,-0.9719877243041992,-0.0,-1.0,0.0,0.4128787171811552,
55,1.91686,0.0995314,-0.00064915,0.333548,6351.67,0.0229492,0.0,0.3249529004096985,0.5003311038017273,0.0,1,1.916237431330908,0.0,0.0,-0.6182548999786377,-0.0,-1.0,0.0,0.7307609613373167,
56,1.98131,0.00894483,-0.000842269,0.333599,6351.69,0.0341797,0.0,-1.0,0.0,0.0,1,1.9804748993149366,0.0,0.0,-1.3249529004096985,-0.0,-1.0,0.0,0.582989029192027,
57,2.79885,0.0881999,-0.00115794,0.333629,6351.7,0.0478516,0.0,1.0,1.0,0.0,1,2.797227673793746,0.0,0.0,-2.0,-0.0,-1.0,0.0,1.197227673793746,
58,3.59605,0.253659,-0.00213116,0.333792,6351.72,0.065918,0.0,0.4825747609138489,1.0,0.0,1,3.59220995759756,0.0,0.0,-0.5174252390861511,-0.0,-1.0,0.0,2.4369823858717146,
59,4.43089,0.449188,-0.00382202,0.334138,6351.74,0.0883789,0.0,1.0,1.0,0.0,1,4.422390182696552,0.0,0.0,-0.5174252390861511,-0.0,-1.0,0.0,3.267162610970707,
60,3.286,0.310224,-0.00571888,0.334606,6351.76,0.112793,0.0,0.3534432351589203,0.3415243327617645,1.0,1,3.2765501962421437,0.0,0.0,-0.6465567648410797,-0.0,-1.0,0.0,2.08258316678982,
61,3.55599,0.0844905,-0.00626725,0.334809,6351.78,0.130859,0.0,-1.0,0.7204594016075134,0.0,1,3.544777097173261,0.0,0.0,-1.3534432351589203,-0.0,-1.0,0.0,2.1387441266255847,
62,3.47812,0.20103,-0.00692051,0.334952,6351.8,0.150879,0.0,1.0,0.0,0.0,1,3.46600162468112,0.0,0.0,-2.0,-0.0,-1.0,0.0,1.86600162468112,
63,3.27427,0.110731,-0.00756472,0.335135,6351.82,0.169922,0.0,0.536303699016571,1.0,0.6227011680603027,1,3.2617919656542207,0.0,0.0,-0.46369630098342896,-0.0,-1.0,0.0,2.122683075359192,
64,3.83897,0.145603,-0.00819224,0.335298,6351.84,0.189453,0.0,-1.0,1.0,0.026724517345428467,1,3.823116472807959,0.0,0.0,-1.536303699016571,-0.0,-1.0,0.0,2.362225363102988,
