step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.1566617786884308,0.0,0.13898509740829468,1,-0.009092603003111566,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5410342216491699,0.39211681485176086,0.010670077987015247,1,-0.009092603003111566,0.0,0.0,-0.38437244296073914,-0.0,-1.0,0.0,-1.1244043358913334,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.3090631663799286,0.10886947065591812,1.0,1,-0.009092603003111566,0.0,0.0,-0.23197105526924133,-0.0,-1.0,0.0,-1.078683919583884,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9931936264038086,1.0,0.026685848832130432,1,-0.009092603003111566,0.0,0.0,-1.3022567927837372,-0.0,-1.0,0.0,-1.3997696408382327,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9722262620925903,0.45544812083244324,0.0,1,-0.009092603003111566,0.0,0.0,-0.02096736431121826,-0.0,-1.0,0.0,-1.015382812296477,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5364037156105042,0.0,0.8887466788291931,1,-0.009092603003111566,0.0,0.0,-0.4358225464820862,-0.0,-1.0,0.0,-1.1398393669477374,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6758239269256592,1.0,0.0,1,-0.009092603003111566,0.0,0.0,-0.13942021131515503,-0.0,-1.0,0.0,-1.0509186663976582,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8823423385620117,0.0,0.0,1,-0.009092603003111566,0.0,0.0,-1.558166265487671,-0.0,-1.0,0.0,-1.4765424826494127,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,0.0,0.0,-1.8823423385620117,-0.0,-1.0,0.0,-1.573795304571715,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8552501797676086,1.0,0.20752491056919098,1,-0.009092603003111566,0.0,0.0,-0.14474982023239136,-0.0,-1.0,0.0,-1.052517549072829,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8258138298988342,0.0,0.7748331427574158,1,-0.009092603003111566,0.0,0.0,-0.029436349868774414,-0.0,-1.0,0.0,-1.0179235079637439,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6634841561317444,0.0,0.20124098658561707,1,-0.009092603003111566,0.0,0.0,-1.4892979860305786,-0.0,-1.0,0.0,-1.455881998812285,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.2686197757720947,1,-0.009092603003111566,0.0,0.0,-0.3365158438682556,-0.0,-1.0,0.0,-1.1100473561635882,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2820836007595062,0.7213850021362305,0.0,1,-0.009092603003111566,0.0,0.0,-1.2820836007595062,-0.0,-1.0,0.0,-1.3937176832309635,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.0,1,-0.009092603003111566,0.0,0.0,-0.7179163992404938,-0.0,-1.0,0.0,-1.2244675227752597,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5325753688812256,0.04124196618795395,0.0,1,-0.009092603003111566,0.0,0.0,-0.4674246311187744,-0.0,-1.0,0.0,-1.1493199923387438,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.08875226974487305,0.11548767238855362,0.0,1,-0.009092603003111566,0.0,0.0,-0.6213276386260986,-0.0,-1.0,0.0,-1.1954908945909413,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.009092603003111566,0.0,0.0,-0.911247730255127,-0.0,-1.0,0.0,-1.2824669220796496,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,1.0,1,-0.009092603003111566,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4619388282299042,0.0,0.0,1,-0.009092603003111566,0.0,0.0,-1.4619388282299042,-0.0,-1.0,0.0,-1.4476742514720828,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.24967056512832642,0.48181185126304626,1.0,1,-0.009092603003111566,0.0,0.0,-0.21226826310157776,-0.0,-1.0,0.0,-1.072773081933585,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.45506688952445984,0.27746573090553284,1,-0.009092603003111566,0.0,0.0,-1.2496705651283264,-0.0,-1.0,0.0,-1.3839937725416094,
