step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.2454652190208435,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.0594925582408905,1.0,0.0,1,0.0,0.0,0.0,-0.9405074417591095,-0.0,-1.0,0.0,-1.2821522325277328,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6785961985588074,0.12582170963287354,0.0952974259853363,1,0.0,0.0,0.0,-0.6191036403179169,-0.0,-1.0,0.0,-1.185731092095375,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.19904464483261108,0.0,1,0.0,0.0,0.0,-0.3214038014411926,-0.0,-1.0,0.0,-1.0964211404323578,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.027386188507080078,1.0,0.9837353229522705,1,0.0,0.0,0.0,-1.02738618850708,-0.0,-1.0,0.0,-1.308215856552124,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3471831679344177,0.3350989520549774,0.0,1,0.0,0.0,0.0,-0.31979697942733765,-0.0,-1.0,0.0,-1.0959390938282012,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.15955644845962524,1.0,0.09225654602050781,1,0.0,0.0,0.0,-0.18762671947479248,-0.0,-1.0,0.0,-1.0562880158424377,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.06204316020011902,1.0,1.0,1,0.0,0.0,0.0,-0.09751328825950623,-0.0,-1.0,0.0,-1.0292539864778518,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5314568281173706,0.0,0.0,1,0.0,0.0,0.0,-0.5934999883174896,-0.0,-1.0,0.0,-1.1780499964952469,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.06311386823654175,0.0,1,0.0,0.0,0.0,-0.4685431718826294,-0.0,-1.0,0.0,-1.1405629515647888,
