step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8454321622848511,0.0,0.512362003326416,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6612008810043335,0.498259961605072,0.03053984045982361,1,0.0,0.0,0.0,-0.18423128128051758,-0.0,-1.0,0.0,-1.0552693843841552,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.05231581628322601,0.9732491970062256,0.0,1,0.0,0.0,0.0,-0.6088850647211075,-0.0,-1.0,0.0,-1.1826655194163322,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.272939532995224,0.6552051305770874,0.0,1,0.0,0.0,0.0,-0.22062371671199799,-0.0,-1.0,0.0,-1.0661871150135993,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.05868721753358841,0.0,1.0,1,0.0,0.0,0.0,-0.2142523154616356,-0.0,-1.0,0.0,-1.0642756946384906,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.33992090821266174,0.5737156271934509,0.0,1,0.0,0.0,0.0,-0.39860812574625015,-0.0,-1.0,0.0,-1.119582437723875,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.421610027551651,0.0,0.19330793619155884,1,0.0,0.0,0.0,-0.08168911933898926,-0.0,-1.0,0.0,-1.0245067358016968,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.41245314478874207,0.20117543637752533,1,0.0,0.0,0.0,-0.578389972448349,-0.0,-1.0,0.0,-1.1735169917345047,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.010197937488555908,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3173578977584839,1.0,0.3440186381340027,1,0.0,0.0,0.0,-1.3173578977584839,-0.0,-1.0,0.0,-1.395207369327545,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8077294826507568,0.02201688289642334,0.0,1,0.0,0.0,0.0,-1.1250873804092407,-0.0,-1.0,0.0,-1.3375262141227722,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.4692724943161011,0.0,0.5123074054718018,1,0.0,0.0,0.0,-0.33845698833465576,-0.0,-1.0,0.0,-1.1015370965003968,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.13222959637641907,0.0,0.0,1,0.0,0.0,0.0,-0.337042897939682,-0.0,-1.0,0.0,-1.1011128693819046,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.34357085824012756,0.0,1.0,1,0.0,0.0,0.0,-0.47580045461654663,-0.0,-1.0,0.0,-1.142740136384964,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7943082451820374,0.7534305453300476,0.4748396873474121,1,0.0,0.0,0.0,-1.137879103422165,-0.0,-1.0,0.0,-1.3413637310266495,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9093847870826721,0.0,0.0,1,0.0,0.0,0.0,-0.11507654190063477,-0.0,-1.0,0.0,-1.0345229625701904,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.808902382850647,0.0,0.0,1,0.0,0.0,0.0,-1.718287169933319,-0.0,-1.0,0.0,-1.5154861509799957,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.35449862480163574,0.0,0.27991700172424316,1,0.0,0.0,0.0,-1.1634010076522827,-0.0,-1.0,0.0,-1.3490203022956848,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6058492064476013,0.7418143153190613,0.9276052117347717,1,0.0,0.0,0.0,-0.2513505816459656,-0.0,-1.0,0.0,-1.0754051744937896,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3760620653629303,0.0,1.0,1,0.0,0.0,0.0,-0.9819112718105316,-0.0,-1.0,0.0,-1.2945733815431595,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.892364501953125,1.0,0.0,1,0.0,0.0,0.0,-1.2684265673160553,-0.0,-1.0,0.0,-1.3805279701948165,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.5922588109970093,0.0,1,0.0,0.0,0.0,-0.107635498046875,-0.0,-1.0,0.0,-1.0322906494140625,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.03088843822479248,0.41946786642074585,1.0,1,0.0,0.0,0.0,-1.0308884382247925,-0.0,-1.0,0.0,-1.3092665314674377,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9222862720489502,0.8275890350341797,0.6482881307601929,1,0.0,0.0,0.0,-0.9531747102737427,-0.0,-1.0,0.0,-1.2859524130821227,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.2670047879219055,0.0,0.0,1,0.0,0.0,0.0,-0.6552814841270447,-0.0,-1.0,0.0,-1.1965844452381134,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.35863766074180603,0.0,0.498529314994812,1,0.0,0.0,0.0,-0.09163287281990051,-0.0,-1.0,0.0,-1.0274898618459702,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.804633617401123,0.0,0.0,1,0.0,0.0,0.0,-0.445995956659317,-0.0,-1.0,0.0,-1.133798786997795,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6125760078430176,0.0,0.0,1,0.0,0.0,0.0,-0.19205760955810547,-0.0,-1.0,0.0,-1.0576172828674317,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.35397371649742126,0.0,0.679282546043396,1,0.0,0.0,0.0,-0.9665497243404388,-0.0,-1.0,0.0,-1.2899649173021317,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8583167195320129,0.0,0.0,1,0.0,0.0,0.0,-1.2122904360294342,-0.0,-1.0,0.0,-1.3636871308088303,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.988911509513855,0.0,1.0,1,0.0,0.0,0.0,-0.13059478998184204,-0.0,-1.0,0.0,-1.0391784369945527,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.22905172407627106,1,0.0,0.0,0.0,-1.988911509513855,-0.0,-1.0,0.0,-1.5966734528541564,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
