step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.39377808570861816,1.0,0.0,1,-0.009092603003111566,0.0,-0.6062219142913818,-0.0,-1.0,0.0,-1.1909591772905261,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.06784135103225708,1.0,0.0,1,-0.009092603003111566,0.0,-0.46161943674087524,-0.0,-1.0,0.0,-1.147578434025374,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.12944406270980835,1.0,0.0,1,-0.009092603003111566,0.0,-0.19728541374206543,-0.0,-1.0,0.0,-1.0682782271257312,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7941384315490723,1.0,0.0,1,-0.009092603003111566,0.0,-0.6646943688392639,-0.0,-1.0,0.0,-1.2085009136548908,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6562559008598328,1.0,0.0,1,-0.009092603003111566,0.0,-0.1378825306892395,-0.0,-1.0,0.0,-1.0504573622098834,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9256159067153931,1.0,0.0,1,-0.009092603003111566,0.0,-0.2693600058555603,-0.0,-1.0,0.0,-1.0899006047597797,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.07438409328460693,-0.0,-1.0,0.0,-1.0314078309884938,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.1246727705001831,1.0,0.0,1,-0.009092603003111566,0.0,-1.124672770500183,-0.0,-1.0,0.0,-1.3464944341531664,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.10296809673309326,1.0,0.0,1,-0.009092603003111566,0.0,-0.22764086723327637,-0.0,-1.0,0.0,-1.0773848631730945,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8378846645355225,0.009991049766540527,0.2513362169265747,1,-0.009092603003111566,0.0,-0.9408527612686157,-0.0,-1.0,0.0,-1.2913484313836963,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.8378846645355225,-0.0,-1.0,0.0,-1.5604580023637684,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.07073366641998291,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5319417715072632,1.0,0.0,1,-0.009092603003111566,0.0,-0.4680582284927368,-0.0,-1.0,0.0,-1.1495100715509325,
