step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.26648378372192383,1.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.23466815054416656,0.0,0.5412060618400574,1,-0.009092603003111566,0.0,-0.5011519342660904,-0.0,-1.0,0.0,-1.1594381832829388,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6315656304359436,1.0,0.0,1,-0.009092603003111566,0.0,-0.39689747989177704,-0.0,-1.0,0.0,-1.1281618469706447,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.4348607063293457,0.0,1,-0.009092603003111566,0.0,-0.3684343695640564,-0.0,-1.0,0.0,-1.1196229138723286,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6928272843360901,0.8822668194770813,0.0,1,-0.009092603003111566,0.0,-1.69282728433609,-0.0,-1.0,0.0,-1.5169407883039385,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.3071727156639099,-0.0,-1.0,0.0,-1.1012444177022847,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.6346821784973145,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.12788793444633484,0.7988308072090149,0.0,1,-0.009092603003111566,0.0,-0.8721120655536652,-0.0,-1.0,0.0,-1.270726222669211,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.12704041600227356,1,-0.009092603003111566,0.0,-0.8721120655536652,-0.0,-1.0,0.0,-1.270726222669211,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.14424601197242737,0.3240591287612915,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.3586387634277344,0.48484280705451965,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6363922357559204,0.0,0.0,1,-0.009092603003111566,0.0,-1.6363922357559204,-0.0,-1.0,0.0,-1.5000102737298877,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.6267213821411133,0.0,1,-0.009092603003111566,0.0,-1.6363922357559204,-0.0,-1.0,0.0,-1.5000102737298877,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.19024421274662018,0.0,1.0,1,-0.009092603003111566,0.0,-1.1902442127466202,-0.0,-1.0,0.0,-1.3661658668270975,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6792723536491394,0.0,1.0,1,-0.009092603003111566,0.0,-0.8695165663957596,-0.0,-1.0,0.0,-1.2699475729218395,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5388442873954773,0.0,1.0,1,-0.009092603003111566,0.0,-0.1404280662536621,-0.0,-1.0,0.0,-1.0512210228792103,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.8478847742080688,0.0,1,-0.009092603003111566,0.0,-0.4611557126045227,-0.0,-1.0,0.0,-1.1474393167844683,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.3400110602378845,0.7916523218154907,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.3064339756965637,0.812572717666626,0.0,1,-0.009092603003111566,0.0,-0.6935660243034363,-0.0,-1.0,0.0,-1.2171624102941425,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.7320410013198853,0.7510213255882263,1,-0.009092603003111566,0.0,-0.6935660243034363,-0.0,-1.0,0.0,-1.2171624102941425,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.979445219039917,0.705328643321991,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.10187247395515442,0.9038270115852356,0.0,1,-0.009092603003111566,0.0,-1.1018724739551544,-0.0,-1.0,0.0,-1.3396543451896579,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.026299603283405304,0.0,0.0,1,-0.009092603003111566,0.0,-0.07557287067174911,-0.0,-1.0,0.0,-1.0317644642046364,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7379133701324463,1.0,0.140771746635437,1,-0.009092603003111566,0.0,-0.711613766849041,-0.0,-1.0,0.0,-1.2225767330578239,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.07742106914520264,0.14651043713092804,1.0,1,-0.009092603003111566,0.0,-0.6604923009872437,-0.0,-1.0,0.0,-1.2072402932992847,
25,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.0774210691452026,-0.0,-1.0,0.0,-1.3323189237466724,
26,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.006218664348125458,1.0,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
27,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.16404327750205994,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
28,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.43345391750335693,1.0,0.043958038091659546,1,-0.009092603003111566,0.0,-0.5665460824966431,-0.0,-1.0,0.0,-1.1790564277521045,
29,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4981706738471985,0.6572578549385071,0.2822279632091522,1,-0.009092603003111566,0.0,-0.9316245913505554,-0.0,-1.0,0.0,-1.288579980408278,
30,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.748370349407196,0.29075491428375244,0.9563015699386597,1,-0.009092603003111566,0.0,-1.2465410232543945,-0.0,-1.0,0.0,-1.3830549099794298,
31,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.4204308092594147,1.0,0.0,1,-0.009092603003111566,0.0,-0.32793954014778137,-0.0,-1.0,0.0,-1.107474465047446,
32,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5696889162063599,0.0,1.0,1,-0.009092603003111566,0.0,-0.1492581069469452,-0.0,-1.0,0.0,-1.0538700350871952,
33,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8983556032180786,0.0,0.0,1,-0.009092603003111566,0.0,-0.32866668701171875,-0.0,-1.0,0.0,-1.1076926091066273,
34,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.02319025993347168,0.595919132232666,0.0,1,-0.009092603003111566,0.0,-0.9215458631515503,-0.0,-1.0,0.0,-1.2855563619485766,
35,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.23634549975395203,0.3759234547615051,0.9750868678092957,1,-0.009092603003111566,0.0,-0.2595357596874237,-0.0,-1.0,0.0,-1.0869533309093387,
36,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8899602293968201,1.0,0.7730714678764343,1,-0.009092603003111566,0.0,-0.653614729642868,-0.0,-1.0,0.0,-1.205177021895972,
37,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5412874221801758,1.0,0.590040385723114,1,-0.009092603003111566,0.0,-0.3486728072166443,-0.0,-1.0,0.0,-1.1136944451681048,
38,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.3616405129432678,0.6726788282394409,1,-0.009092603003111566,0.0,-0.4587125778198242,-0.0,-1.0,0.0,-1.1467063763490588,
39,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.0972825139760971,0.0,0.0,1,-0.009092603003111566,0.0,-0.9027174860239029,-0.0,-1.0,0.0,-1.2799078488102824,
40,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5227795839309692,0.0,0.0,1,-0.009092603003111566,0.0,-0.6200620979070663,-0.0,-1.0,0.0,-1.1951112323752315,
41,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2525385618209839,0.0,0.3691054582595825,1,-0.009092603003111566,0.0,-0.27024102210998535,-0.0,-1.0,0.0,-1.0901649096361072,
42,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.2525385618209839,-0.0,-1.0,0.0,-1.3848541715494067,
43,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.18701472878456116,0.0,0.632666826248169,1,-0.009092603003111566,0.0,-1.1870147287845612,-0.0,-1.0,0.0,-1.36519702163848,
44,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7755105495452881,0.6312145590782166,1.0,1,-0.009092603003111566,0.0,-0.9625252783298492,-0.0,-1.0,0.0,-1.2978501865020662,
45,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.14930236339569092,0.7404733896255493,0.0,1,-0.009092603003111566,0.0,-0.6262081861495972,-0.0,-1.0,0.0,-1.1969550588479907,
46,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,0.07215914130210876,1,-0.009092603003111566,0.0,-1.149302363395691,-0.0,-1.0,0.0,-1.3538833120218188,
47,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.49184390902519226,0.3504664897918701,0.8170591592788696,1,-0.009092603003111566,0.0,-0.5081560909748077,-0.0,-1.0,0.0,-1.161539430295554,
48,-0.0141013,0.0143415,0.00871437,0.33345,3598.45,0.0,0.0,-1.0,0.0,0.0,1,-0.014039323380113128,0.0,-1.4918439090251923,-0.0,-1.0,0.0,-1.461592496087671,
49,-0.0832261,-0.0151749,0.00861805,0.333424,3598.45,0.000244141,0.0,1.0,1.0,0.3289530873298645,1,-0.08286439047884277,0.0,-2.0,-0.0,-1.0,0.0,-1.6828643904788427,
50,0.0601006,-0.0136527,0.00854557,0.333418,3598.45,0.000244141,0.0,1.0,0.4875488877296448,0.4639308452606201,1,0.059841611720435464,0.0,-0.0,-0.0,-1.0,0.0,-0.9401583882795645,
51,0.185518,0.0294141,0.00844067,0.333438,3598.45,0.000488281,0.0,0.7331217527389526,1.0,0.0,1,0.18472845262090593,0.0,-0.26687824726104736,-0.0,-1.0,0.0,-0.8953350215574083,
52,0.0440602,0.00872568,0.00831908,0.333454,3598.45,0.000976563,0.0,1.0,0.0,0.0,1,0.04387540731925168,0.0,-0.26687824726104736,-0.0,-1.0,0.0,-1.0361880668590626,
53,0.522857,0.0621153,0.00810307,0.333466,3598.45,0.00317383,0.0,0.08072441816329956,0.6361000537872314,0.0,1,0.5207214845120933,0.0,-0.9192755818367004,-0.0,-1.0,0.0,-0.7550611900389168,
54,0.582344,0.00131567,0.00793427,0.333475,3598.45,0.00683594,0.0,-0.5391842722892761,1.0,0.559886634349823,1,0.5800154570246797,0.0,-0.6199086904525757,-0.0,-1.0,0.0,-0.605957150111093,
55,0.913163,0.0775972,0.00775021,0.333514,3598.46,0.0107422,0.0,0.6374071836471558,0.4038284718990326,0.0,1,0.9095970081423217,0.0,-1.1765914559364319,-0.0,-1.0,0.0,-0.4433804286386078,
56,0.901352,0.103605,0.00721901,0.333597,3598.46,0.015625,0.0,0.792062520980835,0.0401652455329895,0.0,1,0.8980751072329136,0.0,-0.1546553373336792,-0.0,-1.0,0.0,-0.1483214939671902,
57,1.14024,0.155087,0.00664728,0.333713,3598.47,0.0214844,0.0,1.0,0.30392885208129883,0.0,1,1.1364250892170127,0.0,-0.20793747901916504,-0.0,-1.0,0.0,0.07404384551126308,
58,1.35935,0.152401,0.00596636,0.333857,3598.48,0.0280762,0.0,0.0025619864463806152,0.1558784544467926,0.0,1,1.3552706436998259,0.0,-0.9974380135536194,-0.0,-1.0,0.0,0.056039239633740134,
59,1.19414,0.170687,0.00525254,0.333998,3598.48,0.0351563,0.0,1.0,0.0,0.0,1,1.1909874077310276,0.0,-0.9974380135536194,-0.0,-1.0,0.0,-0.1082439963350581,
60,1.97981,0.207396,0.00441283,0.334194,3598.49,0.045166,0.0,0.38944581151008606,0.7160826325416565,0.0,1,1.9754224552394468,0.0,-0.6105541884899139,-0.0,-1.0,0.0,0.7922561986924725,
61,2.54742,0.330647,0.00334948,0.334426,3598.51,0.0578613,0.0,1.0,0.764643669128418,0.0,1,2.5431394520465593,0.0,-0.6105541884899139,-0.0,-1.0,0.0,1.359973195499585,
62,3.39724,0.347893,0.00184553,0.334749,3598.52,0.074707,0.0,-0.022008538246154785,1.0,0.0,1,3.39409936214517,0.0,-1.0220085382461548,-0.0,-1.0,0.0,2.0874968006713237,
63,2.32171,0.209914,0.00112217,0.334995,3598.54,0.0910645,0.0,0.7551372051239014,0.0,0.8768945336341858,1,2.3204058617935437,0.0,-0.7771457433700562,-0.0,-1.0,0.0,1.0872621387825268,
64,2.49872,0.182365,0.000440296,0.33518,3598.55,0.103516,0.0,0.3715290129184723,0.5800139307975769,0.0,1,2.498169669605579,0.0,-0.3836081922054291,-0.0,-1.0,0.0,1.3830872119439501,
65,1.65519,0.0603696,3.03587e-06,0.335299,3598.56,0.115479,0.0,1.0,0.13147053122520447,0.43850940465927124,1,1.6551874875215398,0.0,-0.6284709870815277,-0.0,-1.0,0.0,0.4666461913970814,
66,1.59479,0.119019,-0.000510995,0.335393,3598.57,0.124023,0.0,-1.0,0.23185256123542786,0.0,1,1.594382326947207,0.0,-2.0,-0.0,-1.0,0.0,-0.005617673052792926,
67,1.34775,0.0188911,-0.000742737,0.335445,3598.58,0.13208,0.0,0.8790565729141235,0.9457350969314575,0.4908471703529358,1,1.3472491164014566,0.0,-1.8790565729141235,-0.0,-1.0,0.0,-0.21646785547278047,
68,1.92072,0.120904,-0.00125248,0.335527,3598.59,0.141113,0.0,-0.003650486469268799,1.0,0.0,1,1.91951566209924,0.0,-0.8827070593833923,-0.0,-1.0,0.0,0.6547035442842222,
69,2.66192,0.182538,-0.00206644,0.335683,3598.6,0.154297,0.0,0.529926061630249,1.0,0.0,1,2.659163969545882,0.0,-0.5335765480995178,-0.0,-1.0,0.0,1.4990910051160267,
70,3.52794,0.143444,-0.00280887,0.335853,3598.62,0.171631,0.0,0.055928051471710205,1.0,0.0,1,3.522971326827053,0.0,-0.4739980101585388,-0.0,-1.0,0.0,2.3807719237794913,
71,4.3693,0.102637,-0.00318844,0.335961,3598.64,0.193848,0.0,0.15145036578178406,0.8975290060043335,0.0,1,4.362312176896277,0.0,-0.09552231431007385,-0.0,-1.0,0.0,3.3336554826032554,
72,4.51285,0.0580444,-0.00349647,0.336063,3598.67,0.221191,0.0,1.0,1.0,0.4350953698158264,1,4.5049329083055385,0.0,-0.8485496342182159,-0.0,-1.0,0.0,3.2503680180400734,
73,4.94841,0.16122,-0.00399191,0.336166,3598.69,0.247314,0.0,-1.0,1.0,0.0,1,4.938493795291115,0.0,-2.0,-0.0,-1.0,0.0,3.3384937952911153,
74,4.9628,-0.0476156,-0.00405723,0.336239,3598.72,0.275146,0.0,-0.10521119832992554,0.0,0.0,1,4.952691570543253,0.0,-0.8947888016700745,-0.0,-1.0,0.0,3.684254930042231,
75,4.62811,-0.0500005,-0.00379306,0.336199,3598.75,0.301758,0.0,0.18765759468078613,0.7182934880256653,0.5132570862770081,1,4.619299378615532,0.0,-0.29286879301071167,-0.0,-1.0,0.0,3.531438740712318,
76,4.34226,0.272161,-0.00445348,0.336295,3598.77,0.326172,0.0,0.7519755363464355,0.0,0.0,1,4.33254788692832,0.0,-0.5643179416656494,-0.0,-1.0,0.0,3.163252504428625,
77,4.9409,0.519449,-0.00668747,0.336707,3598.8,0.352051,0.0,0.8525475263595581,1.0,0.0,1,4.924268579198294,0.0,-0.10057199001312256,-0.0,-1.0,0.0,3.894096982194357,
78,5.68033,0.484453,-0.0091942,0.337213,3598.83,0.381592,0.0,-0.025228947401046753,0.6808158159255981,0.0,1,5.6539772359917,0.0,-0.8777764737606049,-0.0,-1.0,0.0,4.390644293863518,
