step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5030093789100647,0.008877813816070557,0.2956736087799072,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.05296170711517334,1.0,0.9581200480461121,1,-0.009092603003111566,0.0,-0.555971086025238,-0.0,-1.0,0.0,-1.175883928810683,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5302593111991882,0.0,0.0,1,-0.009092603003111566,0.0,-0.5832210183143616,-0.0,-1.0,0.0,-1.18405890849742,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.5019615888595581,0.0,1,-0.009092603003111566,0.0,-0.46974068880081177,-0.0,-1.0,0.0,-1.1500148096433551,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.1630067229270935,1.0,1.0,1,-0.009092603003111566,0.0,-1.1630067229270935,-0.0,-1.0,0.0,-1.3579946198812396,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.6906772255897522,0.0,0.0,1,-0.009092603003111566,0.0,-0.8536839485168457,-0.0,-1.0,0.0,-1.2651977875581653,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9681631326675415,1.0,0.0,1,-0.009092603003111566,0.0,-0.2774859070777893,-0.0,-1.0,0.0,-1.0923383751264484,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.41111668944358826,0.0,0.3826886713504791,1,-0.009092603003111566,0.0,-0.5570464432239532,-0.0,-1.0,0.0,-1.1762065359702976,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.3409493565559387,1.0,0.0,1,-0.009092603003111566,0.0,-0.07016733288764954,-0.0,-1.0,0.0,-1.0301428028694064,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8967568278312683,0.9635035395622253,1.0,1,-0.009092603003111566,0.0,-0.5558074712753296,-0.0,-1.0,0.0,-1.1758348443857105,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.848758339881897,1,-0.009092603003111566,0.0,-0.10324317216873169,-0.0,-1.0,0.0,-1.0400655546537312,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2896190881729126,0.4248560667037964,0.0,1,-0.009092603003111566,0.0,-1.2896190881729126,-0.0,-1.0,0.0,-1.3959783294549852,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.5119597911834717,1,-0.009092603003111566,0.0,-1.2896190881729126,-0.0,-1.0,0.0,-1.3959783294549852,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.4608921408653259,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.1213022917509079,0.9667791128158569,0.11247844994068146,1,-0.009092603003111566,0.0,-0.8786977082490921,-0.0,-1.0,0.0,-1.2727019154778392,
