step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.1116037666797638,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.5131858587265015,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.22100511193275452,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.16551506519317627,1.0,0.0,1,0.0,0.0,0.0,-0.8344849348068237,-1.0,0.0,-1.250345480442047,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8844878673553467,0.0,0.3575942814350128,1,0.0,0.0,0.0,-0.7189728021621704,-1.0,0.0,-1.2156918406486512,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.11551213264465332,-1.0,0.0,-1.034653639793396,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7034871578216553,1.0,0.3396030366420746,1,0.0,0.0,0.0,-0.2965128421783447,-1.0,0.0,-1.0889538526535034,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.2965128421783447,-1.0,0.0,-1.0889538526535034,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.02127993106842041,1.0,0.0,1,0.0,0.0,0.0,-1.0212799310684204,-1.0,0.0,-1.306383979320526,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.44309449195861816,1.0,0.7503467798233032,1,0.0,0.0,0.0,-0.42181456089019775,-1.0,0.0,-1.1265443682670593,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8074454069137573,1.0,0.4184017777442932,1,0.0,0.0,0.0,-0.36435091495513916,-1.0,0.0,-1.1093052744865417,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.04072725772857666,1.0,0.0,1,0.0,0.0,0.0,-0.848172664642334,-1.0,0.0,-1.2544517993927002,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8425910472869873,1.0,0.0,1,0.0,0.0,0.0,-0.8018637895584106,-1.0,0.0,-1.2405591368675233,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.9662783145904541,1.0,0.0,1,0.0,0.0,0.0,-0.1236872673034668,-1.0,0.0,-1.03710618019104,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0337216854095459,-1.0,0.0,-1.0101165056228638,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8784435391426086,1.0,0.23251718282699585,1,0.0,0.0,0.0,-0.12155646085739136,-1.0,0.0,-1.0364669382572174,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.301510751247406,1,0.0,0.0,0.0,-0.12155646085739136,-1.0,0.0,-1.0364669382572174,
