step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.9202113151550293,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.2951570451259613,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3148622512817383,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6969180107116699,0.2953428626060486,0.009769558906555176,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.32700657844543457,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5397602319717407,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7770653367042542,0.666443943977356,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.3611277639865875,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.3232283890247345,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.24237608909606934,0.7253496646881104,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7391471266746521,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.32137954235076904,0.0,0.5771974325180054,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8315182328224182,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.9768971800804138,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.22031986713409424,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.05148107931017876,0.2425023317337036,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.25566840171813965,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.7475770711898804,0.651801347732544,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6893391609191895,0.7421921491622925,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.498529851436615,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.3176216781139374,0.6149255633354187,0.22557127475738525,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.849888265132904,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.6437636613845825,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.17618948221206665,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3739539086818695,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.08528785407543182,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7492610812187195,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.9304447770118713,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.028439847752451897,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.48524928092956543,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.891807496547699,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.5401116609573364,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.628861665725708,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7640136480331421,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6909326314926147,0.1904394030570984,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.472822368144989,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.008326329290866852,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8162423372268677,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-1.0,0.0,-1.0,
49,0.0138438,-0.00245479,2.68618e-06,0.333334,6351.65,0.000488281,-1.0,0.8663012981414795,0.0,1,0.013843781406480711,0.0,0.0,-1.0,0.0,-0.9861562185935193,
50,0.180362,-0.00836175,4.36942e-05,0.333334,6351.65,0.00146484,-0.22134722769260406,0.8398128747940063,0.0,1,0.18035805944117902,0.0,0.0,-1.0,0.0,-0.819641940558821,
51,0.216017,0.0186663,7.9457e-05,0.333334,6351.65,0.00195313,1.0,1.0,0.0,1,0.21600841728672204,0.0,0.0,-1.0,0.0,-0.783991582713278,
52,0.813552,0.0630107,-5.73953e-05,0.333345,6351.66,0.00439453,0.3922733664512634,0.641991376876831,0.0,1,0.8135286516294503,0.0,0.0,-1.0,0.0,-0.18647134837054968,
53,1.58221,0.0353957,-9.07739e-05,0.333406,6351.66,0.0107422,-0.11783206462860107,1.0,0.0,1,1.582138181795312,0.0,0.0,-1.0,0.0,0.582138181795312,
54,1.46537,0.00837975,-0.000125106,0.333406,6351.67,0.0195313,-0.6833711266517639,1.0,0.6096838712692261,1,1.4652783252430017,0.0,0.0,-1.0,0.0,0.4652783252430017,
55,1.40535,-0.12367,0.000230614,0.333345,6351.68,0.0273438,-1.0,0.12347334623336792,0.0,1,1.4051879159387506,0.0,0.0,-1.0,0.0,0.4051879159387506,
56,2.29243,-0.123046,0.000752274,0.333243,6351.69,0.0375977,0.11557729542255402,1.0,0.0,1,2.291567083676845,0.0,0.0,-1.0,0.0,1.2915670836768451,
57,3.20293,-0.0298489,0.000866715,0.333162,6351.7,0.0532227,0.5232771039009094,1.0,0.0,1,3.201540783424052,0.0,0.0,-1.0,0.0,2.201540783424052,
58,3.89034,0.192025,0.000352208,0.333233,6351.72,0.0727539,0.6321433186531067,0.5913530588150024,0.0,1,3.8896546542795445,0.0,0.0,-1.0,0.0,2.8896546542795445,
59,4.65803,0.117883,-0.000131305,0.333395,6351.75,0.0966797,-0.8281188011169434,1.0,0.0,1,4.6577241485317495,0.0,0.0,-1.0,0.0,3.6577241485317495,
60,5.62234,0.24389,-0.000988658,0.333548,6351.78,0.12793,0.5931013822555542,1.0,0.0,1,5.6195579669800795,0.0,0.0,-1.0,0.0,4.6195579669800795,
61,5.67003,0.164486,-0.00200575,0.333792,6351.81,0.160156,-0.5071927309036255,0.0,0.0,1,5.664332267121211,0.0,0.0,-1.0,0.0,4.664332267121211,
62,6.51799,-0.110424,-0.00160759,0.333813,6351.85,0.194336,-1.0,1.0,0.0,1,6.512742452116968,0.0,0.0,-1.0,0.0,5.512742452116968,
63,6.90897,-0.102097,-0.00101155,0.333711,6351.88,0.231934,-0.08514810353517532,0.3370972275733948,0.0,1,6.905472081550039,0.0,0.0,-1.0,0.0,5.905472081550039,
64,7.11892,-0.155072,-0.000404533,0.333609,6351.92,0.271484,-1.0,1.0,0.29456937313079834,1,7.117479498512336,0.0,0.0,-1.0,0.0,6.117479498512336,
65,7.77621,-0.184516,0.000601117,0.333416,6351.96,0.3125,0.7330976128578186,1.0,0.0,1,7.7738713891932445,0.0,0.0,-1.0,0.0,6.7738713891932445,
66,8.16782,0.154472,0.000280205,0.333406,6352.01,0.356934,0.15339483320713043,0.2667558193206787,0.0,1,8.16667534736588,0.0,0.0,-1.0,0.0,7.16667534736588,
67,8.81902,-0.0819935,0.000425641,0.333457,6352.06,0.403809,-0.4285097122192383,0.7688101530075073,0.0,1,8.817142332938698,0.0,0.0,-1.0,0.0,7.8171423329386975,
68,7.6745,-0.168127,0.00133592,0.333274,6352.1,0.450195,-1.0,0.0,0.6153085231781006,1,7.6693668942338595,0.0,0.0,-1.0,0.0,6.6693668942338595,
69,7.4144,-0.144948,0.00190288,0.333141,6352.14,0.491211,0.09445564448833466,1.0,0.24079155921936035,1,7.407332223930951,0.0,0.0,-1.0,0.0,6.407332223930951,
70,8.00772,-0.421449,0.00372392,0.332877,6352.19,0.533691,-1.0,1.0,0.0,1,7.992754456344479,0.0,0.0,-1.0,0.0,6.992754456344479,
71,8.83206,-0.443888,0.00655586,0.33246,6352.23,0.580566,-0.408978670835495,0.8033837080001831,0.0,1,8.802919535745245,0.0,0.0,-1.0,0.0,7.802919535745245,
72,8.84143,-0.342936,0.00849659,0.332002,6352.29,0.635254,0.062236182391643524,1.0,0.6057446002960205,1,8.803550310549406,0.0,0.0,-1.0,0.0,7.803550310549406,
73,9.06293,-0.352177,0.00959856,0.331667,6352.34,0.684082,-0.46627625823020935,1.0,0.0,1,9.01901763786512,0.0,0.0,-1.0,0.0,8.01901763786512,
74,9.8674,-0.717698,0.0131419,0.331056,6352.39,0.736816,-1.0,1.0,0.0,1,9.801711589544086,0.0,0.0,-1.0,0.0,8.801711589544086,
75,10.0183,-1.32109,0.0187123,0.329947,6352.44,0.79248,-1.0,0.0,0.0,1,9.922818848894932,0.0,0.0,-1.0,0.0,8.922818848894932,
76,10.6838,-1.23241,0.0243428,0.328513,6352.5,0.849609,-0.6094660758972168,1.0,0.0,1,10.55061073540696,0.0,0.0,-1.0,0.0,9.55061073540696,
77,10.3614,-0.778258,0.0279434,0.327323,6352.56,0.908691,0.2729463279247284,0.0,0.20087206363677979,1,10.21260746519225,0.0,0.0,-1.0,0.0,9.21260746519225,
78,11.005,-0.294137,0.0289386,0.326581,6352.62,0.967773,0.9462548494338989,1.0,0.0,1,10.841179871377712,0.0,0.0,-1.0,0.0,9.841179871377712,
79,11.6074,-0.388311,0.0295628,0.326011,6352.68,1.03076,-0.9056757688522339,0.4775182604789734,0.0,1,11.430779540651157,0.0,0.0,-1.0,0.0,10.430779540651157,
80,11.9624,-0.167375,0.03065,0.32536,6352.75,1.09619,0.4941047728061676,0.38728582859039307,0.0,1,11.77348648773637,0.0,0.0,-1.0,0.0,10.77348648773637,
