step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.05079200863838196,0.9111645817756653,0.0,1,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8297503590583801,0.5213415622711182,0.0,1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.048453085124492645,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.23128734529018402,0.7438594698905945,0.0,1,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5956153869628906,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.426094651222229,0.0,1,0.0,0.0,0.0,0.0,0.0,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.04962647706270218,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.32450759410858154,0.9229763150215149,0.0,1,0.0,0.0,0.0,0.0,0.0,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6295102834701538,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6364012360572815,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.1231626570224762,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.20177890360355377,0.27103549242019653,0.0,1,0.0,0.0,0.0,0.0,0.0,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.21900035440921783,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7831223011016846,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9278139472007751,0.9955670237541199,0.0,1,0.0,0.0,0.0,0.0,0.0,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.37300872802734375,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.45891234278678894,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7170543670654297,0.8688578605651855,0.0,1,0.0,0.0,0.0,0.0,0.0,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0757751315832138,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5401803255081177,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.11537089943885803,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.42728039622306824,0.9912349581718445,0.0,1,0.0,0.0,0.0,0.0,0.0,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.8097641468048096,0.23249292373657227,0.0,1,0.0,0.0,0.0,0.0,0.0,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.21481353044509888,0.0,1,0.0,0.0,0.0,0.0,0.0,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.9666601419448853,1.0,0.04707777500152588,1,0.0,0.0,0.0,0.0,0.0,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5777061581611633,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.46075713634490967,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3166220188140869,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.008988261222839355,0.0,1,0.0,0.0,0.0,0.0,0.0,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6925659775733948,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7572963237762451,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5925731062889099,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7982378602027893,0.7043824791908264,0.0,1,0.0,0.0,0.0,0.0,0.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.25967860221862793,0.0,1,0.0,0.0,0.0,0.0,0.0,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.44346410036087036,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.12501993775367737,0.5302211046218872,0.0,1,0.0,0.0,0.0,0.0,0.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8316361308097839,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7379550933837891,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9724113941192627,0.5760272741317749,0.6357084512710571,1,0.0,0.0,0.0,0.0,0.0,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5506486296653748,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.9398032426834106,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
49,0.195844,0.00138412,-1.74846e-07,0.333334,6351.65,0.000488281,0.036401450634002686,1.0,0.0,1,0.19584398287872698,0.0,0.0,0.0,0.19584398287872698,
50,0.175208,-0.0127828,2.74817e-05,0.333334,6351.65,0.00195313,-1.0,0.6061798334121704,0.0,1,0.17520559242699113,0.0,0.0,0.0,0.17520559242699113,
51,0.189377,-0.00211401,4.131e-05,0.333334,6351.65,0.00292969,0.3541819453239441,0.0,0.0,1,0.18937308825647867,0.0,0.0,0.0,0.18937308825647867,
52,0.93278,0.0509951,-6.26405e-05,0.333334,6351.66,0.00585938,0.9582966566085815,0.8311079740524292,0.0,1,0.9327507832671881,0.0,0.0,0.0,0.9327507832671881,
53,1.46647,0.0279638,-0.000219043,0.333345,6351.66,0.012207,0.23586279153823853,0.5803790092468262,0.0,1,1.4663093548266846,0.0,0.0,0.0,1.4663093548266846,
54,2.28168,0.151033,-0.000772174,0.333426,6351.67,0.0229492,0.7007825970649719,1.0,0.0,1,2.280798392872502,0.0,0.0,0.0,2.280798392872502,
55,2.36877,0.308593,-0.00191325,0.33367,6351.69,0.0356445,1.0,0.0,0.0,1,2.3664996413109773,0.0,0.0,0.0,2.3664996413109773,
56,3.09147,0.300469,-0.00314349,0.333975,6351.7,0.050293,-0.12128874659538269,1.0,0.0,1,3.0865957312740036,0.0,0.0,0.0,3.0865957312740036,
57,4.01737,0.208487,-0.00397509,0.334209,6351.72,0.0703125,-0.15564273297786713,0.917850136756897,0.0,1,4.009353577497639,0.0,0.0,0.0,4.009353577497639,
58,4.92813,0.0248247,-0.00405138,0.334331,6351.75,0.0952148,-0.2185601145029068,1.0,0.0,1,4.918106719330679,0.0,0.0,0.0,4.918106719330679,
59,5.84108,0.117307,-0.00423973,0.334372,6351.78,0.125,1.0,1.0,0.0,1,5.828645238507107,0.0,0.0,0.0,5.828645238507107,
60,6.19782,-0.0488569,-0.0044381,0.334464,6351.81,0.162109,-1.0,0.3556802272796631,0.0,1,6.184005734379677,0.0,0.0,0.0,6.184005734379677,
61,6.70523,0.11479,-0.00453633,0.334484,6351.85,0.198242,1.0,0.5463445782661438,0.0,1,6.689952493193071,0.0,0.0,0.0,6.689952493193071,
62,7.50245,0.441726,-0.00629919,0.334789,6351.89,0.237793,1.0,1.0,0.0,1,7.478671629916553,0.0,0.0,0.0,7.478671629916553,
63,7.62035,0.367877,-0.00828093,0.335267,6351.93,0.280273,0.05184030532836914,0.0,0.0,1,7.588537291448714,0.0,0.0,0.0,7.588537291448714,
64,8.41687,0.0185098,-0.00839871,0.335501,6351.98,0.324707,-0.5955871343612671,0.9673418998718262,0.0,1,8.381228136183799,0.0,0.0,0.0,8.381228136183799,
65,8.6969,-0.489492,-0.00680321,0.335328,6352.02,0.372559,-0.8555477261543274,0.2607864737510681,0.0,1,8.667115548247338,0.0,0.0,0.0,8.667115548247338,
66,8.59528,-0.965556,-0.00315493,0.334667,6352.07,0.420898,-1.0,0.0,0.0,1,8.581678492245548,0.0,0.0,0.0,8.581678492245548,
67,8.71053,-0.797427,0.000323598,0.333813,6352.12,0.469238,0.5407167673110962,0.1698364019393921,0.0,1,8.709120188916657,0.0,0.0,0.0,8.709120188916657,
68,8.76665,-0.355963,0.00225526,0.333284,6352.17,0.518066,0.0033496469259262085,0.0,0.0,1,8.756742176392521,0.0,0.0,0.0,8.756742176392521,
69,9.36378,0.106097,0.00207311,0.333162,6352.22,0.568359,0.6493816375732422,0.6553033590316772,0.0,1,9.354053812224791,0.0,0.0,0.0,9.354053812224791,
70,10.0965,0.545502,-0.000352558,0.333467,6352.27,0.622559,1.0,1.0,0.0,1,10.094719571630323,0.0,0.0,0.0,10.094719571630323,
71,10.636,0.495708,-0.00295227,0.334037,6352.33,0.680664,-0.5257719159126282,0.39203208684921265,0.0,1,10.620253499834128,0.0,0.0,0.0,10.620253499834128,
72,11.4581,0.0340301,-0.00300902,0.334322,6352.4,0.748047,-1.0,1.0,0.0,1,11.44080932804979,0.0,0.0,0.0,11.44080932804979,
73,12.3031,-0.456865,-0.000269111,0.334118,6352.47,0.814453,-1.0,1.0,0.0,1,12.301444104748192,0.0,0.0,0.0,12.301444104748192,
74,12.3576,-1.1196,0.00443489,0.333335,6352.53,0.883301,-0.7592378258705139,0.0,0.0,1,12.33007626551412,0.0,0.0,0.0,12.33007626551412,
75,12.3715,-1.03244,0.00937873,0.332175,6352.6,0.952148,1.0,0.0,0.0,1,12.312942273249334,0.0,0.0,0.0,12.312942273249334,
76,13.1049,-0.538552,0.0115498,0.331341,6352.67,1.02295,0.0010190755128860474,1.0,0.0,1,13.028348122336922,0.0,0.0,0.0,13.028348122336922,
77,13.5869,-0.621124,0.0132125,0.330711,6352.75,1.09717,-1.0,0.3390185236930847,0.0,1,13.49595823700119,0.0,0.0,0.0,13.49595823700119,
78,14.3103,-0.468841,0.0155314,0.329948,6352.83,1.1748,0.16191449761390686,1.0,0.0,1,14.197449009124107,0.0,0.0,0.0,14.197449009124107,
79,15.1598,0.0245546,0.0146778,0.329541,6352.91,1.25684,0.7498798370361328,1.0,0.0,1,15.046914770777407,0.0,0.0,0.0,15.046914770777407,
80,16.0469,-0.00356825,0.0127714,0.329419,6353.0,1.34375,-0.05562012642621994,1.0,0.0,1,15.943123419916526,0.0,0.0,0.0,15.943123419916526,
81,16.9508,0.224571,0.011792,0.329287,6353.09,1.43555,1.0,1.0,0.0,1,16.849681897932076,0.0,0.0,0.0,16.849681897932076,
82,17.871,0.158985,0.00975401,0.329358,6353.18,1.53271,-0.2285514622926712,1.0,0.0,1,17.78299430258384,0.0,0.0,0.0,17.78299430258384,
83,18.7626,-0.280368,0.0111936,0.329134,6353.29,1.63477,-1.0,1.0,0.0,1,18.656416239738004,0.0,0.0,0.0,18.656416239738004,
