step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.20699197053909302,0.5900675058364868,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.11411052942276001,0.39195457100868225,0.0,1,0.0,0.0,0.0,-0.321102499961853,-0.0,-1.0,0.0,-1.096330749988556,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-1.11411052942276,-0.0,-1.0,0.0,-1.334233158826828,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.09343230724334717,0.0,0.0,1,0.0,0.0,0.0,-1.0934323072433472,-0.0,-1.0,0.0,-1.3280296921730042,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.171217143535614,1.0,0.018879219889640808,1,0.0,0.0,0.0,-0.2646494507789612,-0.0,-1.0,0.0,-1.0793948352336884,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9631104469299316,0.0,0.0,1,0.0,0.0,0.0,-1.1343275904655457,-0.0,-1.0,0.0,-1.3402982771396637,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.2481173276901245,0.0,1,0.0,0.0,0.0,-1.9631104469299316,-0.0,-1.0,0.0,-1.5889331340789794,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.0370895117521286,0.1024622768163681,0.31451722979545593,1,0.0,0.0,0.0,-1.0370895117521286,-0.0,-1.0,0.0,-1.3111268535256386,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3230600357055664,0.6437059044837952,0.21795302629470825,1,0.0,0.0,0.0,-0.2859705239534378,-0.0,-1.0,0.0,-1.0857911571860313,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.45825135707855225,0.0,0.765405535697937,1,0.0,0.0,0.0,-0.7813113927841187,-0.0,-1.0,0.0,-1.2343934178352356,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.05302157253026962,0.5104771852493286,0.7330142855644226,1,0.0,0.0,0.0,-0.5112729296088219,-0.0,-1.0,0.0,-1.1533818788826466,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.8656362891197205,1.0,1,0.0,0.0,0.0,-1.0530215725302696,-0.0,-1.0,0.0,-1.315906471759081,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.0807650089263916,0.0,0.0,1,0.0,0.0,0.0,-0.9192349910736084,-0.0,-1.0,0.0,-1.2757704973220825,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.3235974609851837,0.0,0.0,1,0.0,0.0,0.0,-0.4043624699115753,-0.0,-1.0,0.0,-1.1213087409734726,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9184548854827881,0.0,0.5989757776260376,1,0.0,0.0,0.0,-1.2420523464679718,-0.0,-1.0,0.0,-1.3726157039403915,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.23808680474758148,0.0,0.0,1,0.0,0.0,0.0,-1.1565416902303696,-0.0,-1.0,0.0,-1.346962507069111,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5846316814422607,0.00011134147644042969,0.13141538202762604,1,0.0,0.0,0.0,-0.8227184861898422,-0.0,-1.0,0.0,-1.2468155458569528,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6734759211540222,0.849522590637207,0.0,1,0.0,0.0,0.0,-1.258107602596283,-0.0,-1.0,0.0,-1.3774322807788848,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.8075405359268188,1,0.0,0.0,0.0,-0.3265240788459778,-0.0,-1.0,0.0,-1.0979572236537933,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6787760257720947,0.0,1.0,1,0.0,0.0,0.0,-0.3212239742279053,-0.0,-1.0,0.0,-1.0963671922683715,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.34892719984054565,0.0,0.8878190517425537,1,0.0,0.0,0.0,-0.3298488259315491,-0.0,-1.0,0.0,-1.0989546477794647,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5071723461151123,0.715765118598938,0.06253873556852341,1,0.0,0.0,0.0,-0.15824514627456665,-0.0,-1.0,0.0,-1.04747354388237,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.42345482110977173,1.0,0.0,1,0.0,0.0,0.0,-0.08371752500534058,-0.0,-1.0,0.0,-1.0251152575016023,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9862634539604187,1.0,0.7694659233093262,1,0.0,0.0,0.0,-1.4097182750701904,-0.0,-1.0,0.0,-1.422915482521057,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5614825487136841,1.0,0.0,1,0.0,0.0,0.0,-1.5477460026741028,-0.0,-1.0,0.0,-1.4643238008022308,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.14917993545532227,0.3498017191886902,0.0716935396194458,1,0.0,0.0,0.0,-0.4123026132583618,-0.0,-1.0,0.0,-1.1236907839775085,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.14053383469581604,1.0,1.0,1,0.0,0.0,0.0,-0.008646100759506226,-0.0,-1.0,0.0,-1.0025938302278519,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.8283416032791138,0.0,1,0.0,0.0,0.0,-0.859466165304184,-0.0,-1.0,0.0,-1.2578398495912553,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.7720711827278137,0.0,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.24828627705574036,0.4262201189994812,0.366010844707489,1,0.0,0.0,0.0,-1.2482862770557404,-0.0,-1.0,0.0,-1.3744858831167222,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.426268607378006,0.9724783897399902,0.0,1,0.0,0.0,0.0,-0.6745548844337463,-0.0,-1.0,0.0,-1.2023664653301238,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.27970778942108154,0.0,1,0.0,0.0,0.0,-0.573731392621994,-0.0,-1.0,0.0,-1.1721194177865981,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.46933916211128235,1.0,0.0,1,0.0,0.0,0.0,-1.4693391621112823,-0.0,-1.0,0.0,-1.4408017486333846,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8946355581283569,0.8059059977531433,0.06377938389778137,1,0.0,0.0,0.0,-0.4252963960170746,-0.0,-1.0,0.0,-1.1275889188051225,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9189090132713318,1.0,0.033132076263427734,1,0.0,0.0,0.0,-0.024273455142974854,-0.0,-1.0,0.0,-1.0072820365428925,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5101609230041504,0.0,0.0,1,0.0,0.0,0.0,-0.4087480902671814,-0.0,-1.0,0.0,-1.1226244270801544,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5598353147506714,0.23839528858661652,0.255423367023468,1,0.0,0.0,0.0,-1.0699962377548218,-0.0,-1.0,0.0,-1.3209988713264464,
