step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.42475488781929016,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.4494827389717102,1.0,0.0,1,0.0,0.0,0.0,-0.8742376267910004,-1.0,0.0,-1.2622712880373002,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5649043321609497,0.0351557731628418,0.0,1,0.0,0.0,0.0,-1.01438707113266,-1.0,0.0,-1.304316121339798,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.5649043321609497,-1.0,0.0,-1.4694712996482848,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-1.0,0.0,-1.0,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.29276832938194275,1.0,0.0,1,0.0,0.0,0.0,-1.2927683293819427,-1.0,0.0,-1.3878304988145829,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.04199779033660889,0.6544016599655151,0.0,1,0.0,0.0,0.0,-0.25077053904533386,-1.0,0.0,-1.0752311617136001,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5739350914955139,1.0,0.0,1,0.0,0.0,0.0,-0.6159328818321228,-1.0,0.0,-1.1847798645496368,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6396869421005249,1.0,0.0,1,0.0,0.0,0.0,-0.06575185060501099,-1.0,0.0,-1.0197255551815032,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8605173826217651,1.0,0.0,1,0.0,0.0,0.0,-1.50020432472229,-1.0,0.0,-1.450061297416687,
