step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.03820037841796875,0.6938803195953369,0.2576279044151306,1,-0.009092603003111566,0.0,-1.0382003784179688,-0.0,-1.0,0.0,-1.320552716528502,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.0382003784179688,-0.0,-1.0,0.0,-1.320552716528502,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.30782902240753174,1.0,0.0,1,-0.009092603003111566,0.0,-0.6921709775924683,-0.0,-1.0,0.0,-1.216743896280852,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.47507375478744507,1.0,0.0,1,-0.009092603003111566,0.0,-0.7829027771949768,-0.0,-1.0,0.0,-1.2439634361616045,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.475073754787445,-0.0,-1.0,0.0,-1.451614729439345,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6950916647911072,1.0,0.0,1,-0.009092603003111566,0.0,-0.3049083352088928,-0.0,-1.0,0.0,-1.1005651035657795,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.16483348608016968,1.0,0.0,1,-0.009092603003111566,0.0,-0.8599251508712769,-0.0,-1.0,0.0,-1.2670701482644946,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.1997116208076477,1.0,0.0,1,-0.009092603003111566,0.0,-0.3645451068878174,-0.0,-1.0,0.0,-1.1184561350694568,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.8002883791923523,-0.0,-1.0,0.0,-1.2491791167608173,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7866206169128418,1.0,0.0,1,-0.009092603003111566,0.0,-0.2133793830871582,-0.0,-1.0,0.0,-1.073106417929259,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.03280997276306152,1.0,0.2676035165786743,1,-0.009092603003111566,0.0,-0.8194305896759033,-0.0,-1.0,0.0,-1.2549217799058825,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.7790689468383789,0.0,1,-0.009092603003111566,0.0,-1.0328099727630615,-0.0,-1.0,0.0,-1.31893559483203,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.19062095880508423,1.0,0.0,1,-0.009092603003111566,0.0,-1.1906209588050842,-0.0,-1.0,0.0,-1.3662788906446368,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.1906209588050842,-0.0,-1.0,0.0,-1.3662788906446368,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5662118792533875,1.0,0.0,1,-0.009092603003111566,0.0,-0.43378812074661255,-0.0,-1.0,0.0,-1.1392290392270954,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.38377413153648376,1.0,0.0,1,-0.009092603003111566,0.0,-0.1824377477169037,-0.0,-1.0,0.0,-1.0638239273181826,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.17592886090278625,1.0,0.0,1,-0.009092603003111566,0.0,-0.2078452706336975,-0.0,-1.0,0.0,-1.0714461841932208,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4678766429424286,0.0,0.0,1,-0.009092603003111566,0.0,-0.29194778203964233,-0.0,-1.0,0.0,-1.0966769376150043,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7381094098091125,1.0,0.5008547306060791,1,-0.009092603003111566,0.0,-0.27023276686668396,-0.0,-1.0,0.0,-1.0901624330631168,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.586462140083313,1.0,0.0,1,-0.009092603003111566,0.0,-0.15164726972579956,-0.0,-1.0,0.0,-1.0545867839208514,
23,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9926897287368774,1.0,0.36317169666290283,1,-0.009092603003111566,0.0,-0.40622758865356445,-0.0,-1.0,0.0,-1.130960879599181,
24,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.005982356145977974,1,-0.009092603003111566,0.0,-0.007310271263122559,-0.0,-1.0,0.0,-1.0112856843820484,
25,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7528679370880127,1.0,0.4127478003501892,1,-0.009092603003111566,0.0,-0.2471320629119873,-0.0,-1.0,0.0,-1.0832322218767079,
26,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.23328566551208496,1.0,0.26974183320999146,1,-0.009092603003111566,0.0,-0.9861536026000977,-0.0,-1.0,0.0,-1.3049386837831407,
27,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-1.233285665512085,-0.0,-1.0,0.0,-1.379078302656737,
28,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.932302713394165,1.0,0.49888649582862854,1,-0.009092603003111566,0.0,-0.06769728660583496,-0.0,-1.0,0.0,-1.0294017889848621,
29,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.03625357151031494,1.0,0.0,1,-0.009092603003111566,0.0,-0.96855628490448,-0.0,-1.0,0.0,-1.2996594884744554,
30,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.11990618705749512,1.0,0.006614299491047859,1,-0.009092603003111566,0.0,-0.15615975856781006,-0.0,-1.0,0.0,-1.0559405305734546,
31,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7673730850219727,1.0,0.0,1,-0.009092603003111566,0.0,-0.6474668979644775,-0.0,-1.0,0.0,-1.203332672392455,
32,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.23262691497802734,-0.0,-1.0,0.0,-1.0788806774965198,
33,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8800742626190186,1.0,0.3035244941711426,1,-0.009092603003111566,0.0,-0.11992573738098145,-0.0,-1.0,0.0,-1.045070324217406,
34,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.41385459899902344,1.0,0.4453696608543396,1,-0.009092603003111566,0.0,-0.4662196636199951,-0.0,-1.0,0.0,-1.1489585020891102,
35,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-0.5861454010009766,-0.0,-1.0,0.0,-1.1849362233034046,
36,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6774894595146179,0.33574533462524414,0.0,1,-0.009092603003111566,0.0,-0.3225105404853821,-0.0,-1.0,0.0,-1.1058457651487261,
37,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7499850988388062,1.0,0.0,1,-0.009092603003111566,0.0,-0.07249563932418823,-0.0,-1.0,0.0,-1.030841294800368,
38,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.3666580021381378,1.0,1.0,1,-0.009092603003111566,0.0,-0.38332709670066833,-0.0,-1.0,0.0,-1.124090732013312,
