step,speedX,speedY,angle,trackPos,distFromStart,distRaced,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7051672339439392,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.788553774356842,0.2867172956466675,0.0,1,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9089071154594421,0.6403506398200989,0.0,1,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.417734295129776,0.0,1,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.9531426429748535,0.8100185990333557,0.0,1,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8333565592765808,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.1247766837477684,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.4973587989807129,0.8351714015007019,0.0,1,0.0,0.0,0.0,0.0,0.0,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.34964078664779663,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.422818660736084,0.5628299117088318,0.048348426818847656,1,0.0,0.0,0.0,0.0,0.0,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.5287423729896545,0.0,1,0.0,0.0,0.0,0.0,0.0,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5873132348060608,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.41876739263534546,0.14587467908859253,0.0,1,0.0,0.0,0.0,0.0,0.0,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.4827876389026642,0.5680296421051025,0.0,1,0.0,0.0,0.0,0.0,0.0,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.06025227904319763,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.11885292083024979,0.7328687310218811,0.0,1,0.0,0.0,0.0,0.0,0.0,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.42977195978164673,0.0805131196975708,0.0,1,0.0,0.0,0.0,0.0,0.0,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.06821078062057495,0.11370187997817993,0.0,1,0.0,0.0,0.0,0.0,0.0,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.7136600017547607,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.43425944447517395,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.05863653123378754,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.26589491963386536,0.1354731321334839,0.0,1,0.0,0.0,0.0,0.0,0.0,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8019816279411316,0.1941489577293396,0.0,1,0.0,0.0,0.0,0.0,0.0,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.28886380791664124,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5480278730392456,0.49086859822273254,0.0,1,0.0,0.0,0.0,0.0,0.0,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.8934774994850159,0.7878425717353821,0.0,1,0.0,0.0,0.0,0.0,0.0,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6286135911941528,0.7456082701683044,0.0,1,0.0,0.0,0.0,0.0,0.0,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.04651578143239021,0.8282925486564636,0.0,1,0.0,0.0,0.0,0.0,0.0,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.9282490015029907,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.10936035960912704,0.6862525939941406,0.0,1,0.0,0.0,0.0,0.0,0.0,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.5835684537887573,0.0,1,0.0,0.0,0.0,0.0,0.0,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.6389690041542053,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.4264501929283142,0.0,1,0.0,0.0,0.0,0.0,0.0,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7496801614761353,0.25789928436279297,0.0,1,0.0,0.0,0.0,0.0,0.0,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.5991937518119812,0.5816166400909424,0.0,1,0.0,0.0,0.0,0.0,0.0,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.36608853936195374,0.1860746145248413,0.0,1,0.0,0.0,0.0,0.0,0.0,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.3044340908527374,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.7726525068283081,0.7143421173095703,0.0,1,0.0,0.0,0.0,0.0,0.0,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.6620118618011475,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.37000319361686707,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-1.0,0.13398361206054688,0.0,1,0.0,0.0,0.0,0.0,0.0,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5888916850090027,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.22248563170433044,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,-0.5020776987075806,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,
49,0.177623,-0.0347991,-4.0706e-05,0.333334,6351.65,0.000488281,-0.2918972969055176,0.9570814371109009,0.0,1,0.17761938469192326,0.0,0.0,0.0,0.17761938469192326,
50,0.159491,-0.000409976,-2.21094e-05,0.333334,6351.65,0.00146484,1.0,1.0,0.0,1,0.15948923683586078,0.0,0.0,0.0,0.15948923683586078,
51,0.17313,-0.002509,-1.06653e-05,0.333334,6351.65,0.00244141,-0.425144225358963,0.29776304960250854,0.0,1,0.17312907674845887,0.0,0.0,0.0,0.17312907674845887,
52,0.956446,-0.00196473,-3.98954e-06,0.333334,6351.66,0.00537109,0.04999500513076782,1.0,0.0,1,0.9564440921026011,0.0,0.0,0.0,0.9564440921026011,
53,1.09457,0.0138107,-0.000103649,0.333334,6351.66,0.0117188,0.09576438367366791,0.10325521230697632,0.0,1,1.094513268577591,0.0,0.0,0.0,1.094513268577591,
54,1.92995,-0.0355885,-1.25726e-05,0.333334,6351.67,0.0209961,-1.0,1.0,0.022508859634399414,1,1.9299378676027816,0.0,0.0,0.0,1.9299378676027816,
55,2.88194,0.00637899,8.61327e-05,0.333314,6351.69,0.034668,1.0,1.0,0.0,1,2.881815874673106,0.0,0.0,0.0,2.881815874673106,
56,3.06168,-0.0880409,0.000278775,0.333294,6351.7,0.0512695,-0.40255817770957947,0.17741096019744873,0.0,1,3.0612531211145315,0.0,0.0,0.0,3.0612531211145315,
57,3.94354,-0.272394,0.00127823,0.333121,6351.72,0.0708008,-1.0,1.0,0.0,1,3.941016403500006,0.0,0.0,0.0,3.941016403500006,
58,4.23141,-0.214683,0.00236541,0.332846,6351.75,0.09375,0.6300078630447388,0.30983322858810425,0.0,1,4.22639365719087,0.0,0.0,0.0,4.22639365719087,
59,5.07368,-0.357855,0.00367624,0.332592,6351.77,0.119629,-1.0,1.0,0.0,1,5.064319703629098,0.0,0.0,0.0,5.064319703629098,
60,5.63615,-0.252363,0.00513965,0.332195,6351.8,0.152832,0.21433453261852264,0.5324749946594238,0.0,1,5.62159170248273,0.0,0.0,0.0,5.62159170248273,
61,6.23425,0.00536271,0.00538475,0.332073,6351.84,0.186523,0.021796487271785736,0.6410688757896423,0.0,1,6.2173747597897915,0.0,0.0,0.0,6.2173747597897915,
62,7.05353,-0.196733,0.00606806,0.331971,6351.88,0.223633,-0.8371086716651917,0.9955639243125916,0.0,1,7.031999649849568,0.0,0.0,0.0,7.031999649849568,
63,7.11808,-0.609374,0.00831062,0.331524,6351.92,0.263672,-1.0,0.032197415828704834,0.0,1,7.088256702783891,0.0,0.0,0.0,7.088256702783891,
64,7.95227,-0.528379,0.0107268,0.330903,6351.96,0.305664,0.5617473721504211,1.0,0.0,1,7.90916210645736,0.0,0.0,0.0,7.90916210645736,
65,8.06728,-0.125508,0.011607,0.330527,6352.0,0.350098,0.7539605498313904,0.0,0.0,1,8.01991917600422,0.0,0.0,0.0,8.01991917600422,
66,8.85518,0.178954,0.0106233,0.330497,6352.05,0.397461,0.20198790729045868,1.0,0.0,1,8.807645599075599,0.0,0.0,0.0,8.807645599075599,
67,9.66955,0.49908,0.00816423,0.33072,6352.1,0.44873,1.0,1.0,0.0,1,9.629755964948748,0.0,0.0,0.0,9.629755964948748,
68,10.0475,1.04463,0.00400192,0.331392,6352.16,0.503906,0.939587414264679,0.3262561559677124,0.0,1,10.027314950987885,0.0,0.0,0.0,10.027314950987885,
69,10.7717,1.0406,-0.000728782,0.332409,6352.21,0.561523,-0.2773245871067047,1.0,0.0,1,10.767772029262973,0.0,0.0,0.0,10.767772029262973,
70,11.6882,0.774659,-0.00365418,0.333243,6352.28,0.624512,0.3662220537662506,1.0,0.0,1,11.666766617824116,0.0,0.0,0.0,11.666766617824116,
