step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7096261978149414,1.0,0.8768086433410645,1,-0.009092603003111566,1.522224058775e-05,-0.2903738021850586,-0.0,-1.0,0.0,-1.0961895214180415,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.2194421887397766,0.7669553160667419,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.929068386554718,-0.0,-1.0,0.0,-1.2877978967289392,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.04805918037891388,0.9652084708213806,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.17138300836086273,-0.0,-1.0,0.0,-1.0604922832707826,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8176908493041992,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8657500296831131,-0.0,-1.0,0.0,-1.2688023896674578,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6080977916717529,1.0,0.2429947853088379,1,-0.009092603003111566,1.522224058775e-05,-1.4257886409759521,-0.0,-1.0,0.0,-1.4368139730553096,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.9577341079711914,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.39190220832824707,-0.0,-1.0,0.0,-1.126648043260998,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.046089231967926025,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.953910768032074,-0.0,-1.0,0.0,-1.295250611172146,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8428686261177063,1.0,0.2005940079689026,1,-0.009092603003111566,1.522224058775e-05,-0.7967793941497803,-0.0,-1.0,0.0,-1.2481111990074578,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.07953298091888428,1.0,0.933825671672821,1,-0.009092603003111566,1.522224058775e-05,-0.9224016070365906,-0.0,-1.0,0.0,-1.285797862873501,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.10878804326057434,0.8850771188735962,0.6211365461349487,1,-0.009092603003111566,1.522224058775e-05,-0.029255062341690063,-0.0,-1.0,0.0,-1.0178538994650308,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.14369219541549683,0.2955220937728882,0.0779346227645874,1,-0.009092603003111566,1.522224058775e-05,-0.034904152154922485,-0.0,-1.0,0.0,-1.0195486264090006,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.6385204195976257,0.04004019498825073,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.7822126150131226,-0.0,-1.0,0.0,-1.2437411652664605,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7162423133850098,0.0,0.35940706729888916,1,-0.009092603003111566,1.522224058775e-05,-0.07772189378738403,-0.0,-1.0,0.0,-1.032393948898739,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.10654425621032715,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.28375768661499023,-0.0,-1.0,0.0,-1.094204686747021,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8549668788909912,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.1450331211090088,-0.0,-1.0,0.0,-1.0525873170952265,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.0336034893989563,0.6914043426513672,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8885703682899475,-0.0,-1.0,0.0,-1.275648491249508,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.6291945576667786,1.0,1,-0.009092603003111566,1.522224058775e-05,-1.0336034893989563,-0.0,-1.0,0.0,-1.3191584275822108,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
19,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8294581174850464,1.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.1705418825149536,-0.0,-1.0,0.0,-1.06023994551701,
20,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,0.0,1.0,1,-0.009092603003111566,1.522224058775e-05,-0.1705418825149536,-0.0,-1.0,0.0,-1.06023994551701,
21,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8569613695144653,1.0,0.7083770632743835,1,-0.009092603003111566,1.522224058775e-05,-0.14303863048553467,-0.0,-1.0,0.0,-1.0519889699081841,
22,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9412933588027954,1.0,0.8133538961410522,1,-0.009092603003111566,1.522224058775e-05,-0.08433198928833008,-0.0,-1.0,0.0,-1.0343769775490228,
