step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.776623010635376,0.8954720497131348,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.0,-0.0,-1.0,0.0,-1.0090773807625237,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.0012395530939102173,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7753834575414658,-0.0,-1.0,0.0,-1.2416924180249636,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.621147871017456,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.6223874241113663,-0.0,-1.0,0.0,-1.1957936079959337,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.015249013900756836,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.37885212898254395,-0.0,-1.0,0.0,-1.122733019457287,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.27782735228538513,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.2778273522853851,-0.0,-1.0,0.0,-1.3924255864481392,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.7221726477146149,-0.0,-1.0,0.0,-1.2257291750769084,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9406754970550537,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.05932450294494629,-0.0,-1.0,0.0,-1.0268747316460076,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.13811542093753815,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.8025600761175156,-0.0,-1.0,0.0,-1.2498454035977784,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.4625510573387146,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-0.32443563640117645,-0.0,-1.0,0.0,-1.1064080716828768,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8293563723564148,1.0,0.2941056489944458,1,-0.009092603003111566,1.522224058775e-05,-1.2919074296951294,-0.0,-1.0,0.0,-1.3966496096710626,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.9440394043922424,1.0,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.7733957767486572,-0.0,-1.0,0.0,-1.541096113787121,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.41311249136924744,0.23823559284210205,0.0,1,-0.009092603003111566,1.522224058775e-05,-1.3571518957614899,-0.0,-1.0,0.0,-1.4162229494909706,
