step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8384659290313721,0.0,0.0,1,-0.009092603003111566,0.0,-0.0,-0.0,-1.0,0.0,-1.0090926030031115,
1,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.8061879873275757,0.0,0.0,1,-0.009092603003111566,0.0,-0.03227794170379639,-0.0,-1.0,0.0,-1.0187759855142504,
2,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,1.0,0.8081866502761841,1,-0.009092603003111566,0.0,-1.8061879873275757,-0.0,-1.0,0.0,-1.5509489992013843,
3,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,1.0,1.0,0.0,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
4,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.5336737036705017,0.4899868071079254,1,-0.009092603003111566,0.0,-2.0,-0.0,-1.0,0.0,-1.6090926030031114,
5,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.024672269821166992,0.0,0.15663471817970276,1,-0.009092603003111566,0.0,-1.024672269821167,-0.0,-1.0,0.0,-1.3164942839494616,
6,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.8776504397392273,0.8137789368629456,0.0,1,-0.009092603003111566,0.0,-0.9023227095603943,-0.0,-1.0,0.0,-1.2797894158712297,
7,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.30127087235450745,1.0,0.35332825779914856,1,-0.009092603003111566,0.0,-0.5763795673847198,-0.0,-1.0,0.0,-1.1820064732185276,
8,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.7968161702156067,1.0,0.08851231634616852,1,-0.009092603003111566,0.0,-1.0980870425701141,-0.0,-1.0,0.0,-1.3385187157741458,
9,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.7419382333755493,0.0,1,-0.009092603003111566,0.0,-1.7968161702156067,-0.0,-1.0,0.0,-1.5481374540677937,
10,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.7381304502487183,1.0,0.0,1,-0.009092603003111566,0.0,-0.26186954975128174,-0.0,-1.0,0.0,-1.0876534679284962,
11,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.6482253074645996,1,-0.009092603003111566,0.0,-0.26186954975128174,-0.0,-1.0,0.0,-1.0876534679284962,
12,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.5962842702865601,0.0,0.7701431512832642,1,-0.009092603003111566,0.0,-0.40371572971343994,-0.0,-1.0,0.0,-1.1302073219171436,
13,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.882665753364563,0.2897784411907196,0.0,1,-0.009092603003111566,0.0,-0.28638148307800293,-0.0,-1.0,0.0,-1.0950070479265124,
14,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.877069354057312,1.0,1,-0.009092603003111566,0.0,-0.11733424663543701,-0.0,-1.0,0.0,-1.0442928769937427,
15,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.3247341215610504,0.0,0.0,1,-0.009092603003111566,0.0,-0.6752658784389496,-0.0,-1.0,0.0,-1.2116723665347964,
16,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,0.5997057557106018,0.0,0.1422913670539856,1,-0.009092603003111566,0.0,-0.9244398772716522,-0.0,-1.0,0.0,-1.2864245661846072,
17,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-1.0,0.0,0.05900457873940468,1,-0.009092603003111566,0.0,-1.5997057557106018,-0.0,-1.0,0.0,-1.489004329716292,
18,-0.00913045,-0.00302988,0.00822276,0.333439,3598.45,0.0,0.0,-0.9972797632217407,0.27122896909713745,0.7150176763534546,1,-0.009092603003111566,0.0,-0.0027202367782592773,-0.0,-1.0,0.0,-1.0099086740365895,
