step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5427457094192505,0.0,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.32662999629974365,0.0,0.0,1,0.0,0.0,0.0,-0.8693757057189941,-0.0,-1.0,0.0,-1.2608127117156982,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.12449733912944794,0.4960050582885742,0.8572179079055786,1,0.0,0.0,0.0,-0.20213265717029572,-0.0,-1.0,0.0,-1.0606397971510888,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.7146624326705933,0.0,1,0.0,0.0,0.0,-0.8755026608705521,-0.0,-1.0,0.0,-1.2626507982611657,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.8168379068374634,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.32430049777030945,0.47200194001197815,0.0,1,0.0,0.0,0.0,-0.6756995022296906,-0.0,-1.0,0.0,-1.2027098506689071,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7304532527923584,1.0,0.0,1,0.0,0.0,0.0,-0.40615275502204895,-0.0,-1.0,0.0,-1.1218458265066147,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-0.2695467472076416,-0.0,-1.0,0.0,-1.0808640241622924,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.5172896385192871,0.16056206822395325,0.5261269807815552,1,0.0,0.0,0.0,-0.4827103614807129,-0.0,-1.0,0.0,-1.144813108444214,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.36024072766304016,1.0,0.0,1,0.0,0.0,0.0,-0.8775303661823273,-0.0,-1.0,0.0,-1.2632591098546981,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.2535891532897949,1.0,0.0,1,0.0,0.0,0.0,-0.6138298809528351,-0.0,-1.0,0.0,-1.1841489642858505,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.757493257522583,1.0,0.0,1,0.0,0.0,0.0,-0.5039041042327881,-0.0,-1.0,0.0,-1.1511712312698363,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3915407657623291,0.0,0.018500491976737976,1,0.0,0.0,0.0,-1.149034023284912,-0.0,-1.0,0.0,-1.3447102069854737,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.029567614197731018,0.0,0.23050557076931,1,0.0,0.0,0.0,-0.3619731515645981,-0.0,-1.0,0.0,-1.1085919454693793,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.44567012786865234,0.17550310492515564,0.737663745880127,1,0.0,0.0,0.0,-0.47523774206638336,-0.0,-1.0,0.0,-1.142571322619915,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7175048589706421,0.0,0.1406010389328003,1,0.0,0.0,0.0,-0.27183473110198975,-0.0,-1.0,0.0,-1.081550419330597,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.561729907989502,0.0,1,0.0,0.0,0.0,-1.717504858970642,-0.0,-1.0,0.0,-1.5152514576911926,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7667028903961182,0.0,0.0,1,0.0,0.0,0.0,-1.7667028903961182,-0.0,-1.0,0.0,-1.5300108671188353,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5847346782684326,1.0,0.2538915276527405,1,0.0,0.0,0.0,-1.3514375686645508,-0.0,-1.0,0.0,-1.4054312705993652,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.21257370710372925,1.0,0.7379816770553589,1,0.0,0.0,0.0,-0.37216097116470337,-0.0,-1.0,0.0,-1.111648291349411,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.3767130374908447,0.8736623525619507,0.0,1,0.0,0.0,0.0,-0.589286744594574,-0.0,-1.0,0.0,-1.1767860233783722,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.9453271627426147,1,0.0,0.0,0.0,-1.3767130374908447,-0.0,-1.0,0.0,-1.4130139112472535,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.9426120519638062,0.0,0.9314903020858765,1,0.0,0.0,0.0,-0.05738794803619385,-0.0,-1.0,0.0,-1.0172163844108582,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.4789873957633972,1,0.0,0.0,0.0,-0.05738794803619385,-0.0,-1.0,0.0,-1.0172163844108582,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6628289222717285,0.904003918170929,0.0,1,0.0,0.0,0.0,-1.6628289222717285,-0.0,-1.0,0.0,-1.4988486766815186,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.50636887550354,0.21821081638336182,0.0,1,0.0,0.0,0.0,-0.15646004676818848,-0.0,-1.0,0.0,-1.0469380140304565,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.0,1,0.0,0.0,0.0,-1.50636887550354,-0.0,-1.0,0.0,-1.451910662651062,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.6839985847473145,1.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5321866273880005,0.0,0.28968197107315063,1,0.0,0.0,0.0,-0.4678133726119995,-0.0,-1.0,0.0,-1.1403440117836,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8934903144836426,1.0,0.40266597270965576,1,0.0,0.0,0.0,-0.3613036870956421,-0.0,-1.0,0.0,-1.1083911061286926,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.7801043391227722,0.14786580204963684,0.0,1,0.0,0.0,0.0,-0.11338597536087036,-0.0,-1.0,0.0,-1.0340157926082612,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6060501337051392,0.0,0.0,1,0.0,0.0,0.0,-1.3861544728279114,-0.0,-1.0,0.0,-1.4158463418483733,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.34943023324012756,0.39688536524772644,0.0,1,0.0,0.0,0.0,-0.2566199004650116,-0.0,-1.0,0.0,-1.0769859701395035,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5180176496505737,1.0,0.7102387547492981,1,0.0,0.0,0.0,-0.8674478828907013,-0.0,-1.0,0.0,-1.2602343648672103,
