step,speedX,speedY,angle,trackPos,distFromStart,distRaced,damage,steer,accel,brake,gear,r_speed,r_safety,r_ttc,r_smooth,r_anticipation,r_time,r_terminal,reward_total,terminal_reason
0,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.5129374265670776,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
1,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
2,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.6713052988052368,0.11396040767431259,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
3,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.09368803352117538,0.0,0.1698371171951294,1,0.0,0.0,0.0,-1.0936880335211754,-0.0,-1.0,0.0,-1.3281064100563527,
4,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.101017527282238,0.0,0.0,1,0.0,0.0,0.0,-0.007329493761062622,-0.0,-1.0,0.0,-1.0021988481283188,
5,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-0.898982472717762,-0.0,-1.0,0.0,-1.2696947418153286,
6,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6024760603904724,0.40172630548477173,0.7760167121887207,1,0.0,0.0,0.0,-1.6024760603904724,-0.0,-1.0,0.0,-1.4807428181171418,
7,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-0.3975239396095276,-0.0,-1.0,0.0,-1.1192571818828583,
8,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.7781671285629272,0.7434605360031128,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
9,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
10,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.6110960841178894,0.13626430928707123,1.0,1,0.0,0.0,0.0,-1.6110960841178894,-0.0,-1.0,0.0,-1.483328825235367,
11,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.1437591165304184,0.8940863609313965,0.0,1,0.0,0.0,0.0,-0.467336967587471,-0.0,-1.0,0.0,-1.1402010902762414,
12,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.9133356213569641,0.5256317853927612,0.0,1,0.0,0.0,0.0,-1.0570947378873825,-0.0,-1.0,0.0,-1.3171284213662147,
13,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8378313779830933,0.05505247786641121,0.5366990566253662,1,0.0,0.0,0.0,-1.7511669993400574,-0.0,-1.0,0.0,-1.5253500998020173,
14,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8331636190414429,0.0,0.5423992276191711,1,0.0,0.0,0.0,-0.004667758941650391,-0.0,-1.0,0.0,-1.0014003276824952,
15,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.1176835149526596,1,0.0,0.0,0.0,-1.8331636190414429,-0.0,-1.0,0.0,-1.549949085712433,
16,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
17,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.20525234937667847,0.0,0.06459954380989075,1,0.0,0.0,0.0,-0.7947476506233215,-0.0,-1.0,0.0,-1.2384242951869964,
18,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.6208834052085876,0.1652553528547287,0.0,1,0.0,0.0,0.0,-0.8261357545852661,-0.0,-1.0,0.0,-1.2478407263755797,
19,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.871350109577179,0.3448830246925354,0.0,1,0.0,0.0,0.0,-1.4922335147857666,-0.0,-1.0,0.0,-1.44767005443573,
20,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.42095816135406494,1,0.0,0.0,0.0,-1.871350109577179,-0.0,-1.0,0.0,-1.5614050328731537,
21,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
22,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5109767317771912,0.32255467772483826,0.8327603936195374,1,0.0,0.0,0.0,-0.48902326822280884,-0.0,-1.0,0.0,-1.1467069804668426,
23,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,1.0,0.24152736365795135,1,0.0,0.0,0.0,-0.48902326822280884,-0.0,-1.0,0.0,-1.1467069804668426,
24,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.3805506229400635,0.6994969248771667,0.0,1,0.0,0.0,0.0,-0.6194493770599365,-0.0,-1.0,0.0,-1.185834813117981,
25,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.7552561163902283,0.868996798992157,0.0,1,0.0,0.0,0.0,-0.3747054934501648,-0.0,-1.0,0.0,-1.1124116480350494,
26,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7462864518165588,0.3896349370479584,0.0,1,0.0,0.0,0.0,-1.501542568206787,-0.0,-1.0,0.0,-1.450462770462036,
27,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.17317765951156616,1,0.0,0.0,0.0,-1.7462864518165588,-0.0,-1.0,0.0,-1.5238859355449677,
28,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.020859919488430023,0.0,0.0,1,0.0,0.0,0.0,-1.02085991948843,-0.0,-1.0,0.0,-1.306257975846529,
29,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.39463111758232117,0.0,0.0,1,0.0,0.0,0.0,-0.37377119809389114,-0.0,-1.0,0.0,-1.1121313594281674,
30,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.7173370718955994,1.0,0.0,1,0.0,0.0,0.0,-1.1119681894779205,-0.0,-1.0,0.0,-1.333590456843376,
31,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.35238611698150635,0.0,0.0,1,0.0,0.0,0.0,-1.0697231888771057,-0.0,-1.0,0.0,-1.3209169566631318,
32,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.22561553120613098,0.7743116617202759,0.0,1,0.0,0.0,0.0,-0.12677058577537537,-0.0,-1.0,0.0,-1.0380311757326126,
33,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-6.757187657058239e-05,0.0,0.4020017683506012,1,0.0,0.0,0.0,-0.22568310308270156,-0.0,-1.0,0.0,-1.0677049309248106,
34,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.8383986949920654,0.0,1.0,1,0.0,0.0,0.0,-0.838466266868636,-0.0,-1.0,0.0,-1.2515398800605908,
35,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.8781726360321045,0.7546538710594177,0.7263359427452087,1,0.0,0.0,0.0,-1.71657133102417,-0.0,-1.0,0.0,-1.5149713993072509,
36,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.7768474221229553,0.0,0.0,1,0.0,0.0,0.0,-1.6550200581550598,-0.0,-1.0,0.0,-1.496506017446518,
37,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.569500744342804,0.09502682089805603,0.0,1,0.0,0.0,0.0,-0.20734667778015137,-0.0,-1.0,0.0,-1.0622040033340454,
38,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,-0.43049925565719604,-0.0,-1.0,0.0,-1.1291497766971588,
39,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.6777792572975159,1.0,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
40,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.016585413366556168,1.0,0.49068617820739746,1,0.0,0.0,0.0,-0.9834145866334438,-0.0,-1.0,0.0,-1.295024375990033,
41,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.38837742805480957,0.0,0.0,1,0.0,0.0,0.0,-0.40496284142136574,-0.0,-1.0,0.0,-1.1214888524264097,
42,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,0.13301889598369598,1,0.0,0.0,0.0,-0.6116225719451904,-0.0,-1.0,0.0,-1.183486771583557,
43,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.47884953022003174,0.0,0.05471467971801758,1,0.0,0.0,0.0,-1.4788495302200317,-0.0,-1.0,0.0,-1.4436548590660094,
44,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.21334311366081238,1.0,0.07742734253406525,1,0.0,0.0,0.0,-0.6921926438808441,-0.0,-1.0,0.0,-1.2076577931642531,
45,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.5659187436103821,0.0,0.0,1,0.0,0.0,0.0,-0.7792618572711945,-0.0,-1.0,0.0,-1.2337785571813584,
46,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-0.11298142373561859,0.0,0.0,1,0.0,0.0,0.0,-0.4529373198747635,-0.0,-1.0,0.0,-1.135881195962429,
47,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,0.2688938081264496,0.2370276153087616,0.48920994997024536,1,0.0,0.0,0.0,-0.3818752318620682,-0.0,-1.0,0.0,-1.1145625695586205,
48,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,0.0,-0.7311061918735504,-0.0,-1.0,0.0,-1.219331857562065,
49,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,-1.0,
50,0.0,0.0,3.01992e-07,0.333334,6351.65,0.0,0.0,-1.0,0.0,0.0,1,0.0,0.0,0.0,-2.0,-0.0,-1.0,0.0,-1.6,
51,0.087429,0.0215307,-3.02156e-05,0.333334,6351.65,0.0,0.0,0.11218282580375671,0.3544948995113373,0.0,1,0.08742767910024343,0.0,0.0,-1.1121828258037567,-0.0,-1.0,0.0,-1.2462271686408837,
